"Market";"Distributor";"Release date";"2019";"2020";"Total since 2019"
"AT";"Filmladen";"07/02/2020";"";"11 624";"11 624"
"BE";"Cineart (BE)";"30/10/2019";"53 692";"9 024";"62 716"
"BG";"Cinelibri";"29/11/2019";"4 717";"532";"5 249"
"CH";"Frenetic Films (CH)";"13/11/2019";"27 760";"16 595";"44 355"
"CZ";"Pilot Film (CZ)";"24/09/2020";"";"2 209";"2 209"
"DE";"Weltkino Filmverleih (DE)";"06/02/2020";"";"89 153";"89 153"
"DK";"FilmBazar";"17/09/2020";"";"11 691";"11 691"
"EE";"Garsu Pasaulis";"28/02/2020";"";"1 133";"1 133"
"ES";"Caramelfilms";"01/01/2020";"";"202 583";"202 583"
"FI";"Future Film";"24/07/2020";"";"5 014";"5 014"
"FR";"Gaumont Distribution";"13/11/2019";"1 470 002";"103 263";"1 573 265"
"GR";"Odeon (GR)";"01/01/2020";"";"40 612";"40 612"
"HR";"Discovery (HR)";"08/10/2020";"";"1 349";"1 349"
"HU";"Cirko Film";"17/09/2020";"";"4 150";"4 150"
"IT";"01 Distribution";"21/11/2019";"483 189";"65 400";"548 589"
"LT";"Garsų pasaulio įrašai (LT)";"21/02/2020";"";"1 845";"1 845"
"LU";"Cineart (LU)";"13/11/2019";"3 576";"1 210";"4 786"
"LV";"GPI Latvia";"07/02/2020";"";"449";"449"
"MK";"MCF MKD (MK)";"";"233";"24";"257"
"NL";"Cinéart Nederland";"16/04/2020";"";"2 958";"2 958"
"PL";"Gutek Film";"27/12/2019";"51 997";"";"51 997"
"PT";"Midas Filmes";"30/01/2020";"";"27 315";"27 315"
"RU";"Megogo (RU)";"06/02/2020";"";"40 092";"40 092"
"SI";"Fivia";"16/11/2019";"1 366";"2 035";"3 401"
"TR";"CJET (TR)";"28/08/2020";"";"1 045";"1 045"
"EUR EU";"";"";"2 068 539";"583 549";"2 652 088"
"EUR OBS";"";"";"2 096 532";"641 305";"2 737 837"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019"
" - film_id : 84052"
