"Market";"Distributor";"Release date";"2002";"2003";"2004";"2005";"2007";"2011";"2012";"2014";"2016";"2019";"2007-2019";"Total since 2002"
"AT";"";"";"326 171";"";"";"";"";"";"";"";"";"";"";"326 171"
"BE";"";"";"222 218";"";"";"";"";"";"";"";"";"";"";"222 218"
"BG";"Sunny";"23/08/2002";"7 146";"8 422";"";"";"";"";"";"";"";"";"";"15 568"
"CH";"UIP (CH)";"22/08/2002";"297 096";"2 705";"";"";"";"45";"";"";"";"";"45";"299 846"
"CY";"";"";"11 151";"";"";"";"";"";"";"";"";"";"";"11 151"
"CZ";"Bontonfilm";"01/08/2002";"120 947";"2 767";"240";"40";"";"";"";"";"";"";"";"123 994"
"DE";"UIP (DE)";"22/08/2002";"2 208 466";"70 989";"";"";"";"";"";"";"";"";"";"2 279 455"
"DK";"";"";"114 738";"62";"";"";"";"";"";"";"";"";"";"114 800"
"EE";"MPDE";"23/08/2002";"11 943";"";"";"";"";"";"";"";"";"";"";"11 943"
"ES";"";"";"569 766";"";"";"";"";"";"";"";"";"";"";"569 766"
"FI";"";"";"111 361";"";"";"";"";"";"";"";"";"";"";"111 361"
"FR";"";"";"516 491";"7 476";"265";"";"";"";"";"";"";"";"";"524 232"
"GB";"UIP (GB)";"26/04/2002";"3 647 201";"";"";"";"";"";"";"24";"29";"";"53";"3 647 254"
"HU";"";"";"110 235";"";"";"";"";"";"";"";"";"";"";"110 235"
"IS";"";"";"27 852";"";"";"";"";"";"";"";"";"";"";"27 852"
"IT";"UIP (IT)";"13/09/2002";"982 289";"2 850";"";"";"";"";"";"";"";"67";"67";"985 206"
"LT";"";"";"18 714";"";"";"";"";"";"";"";"";"";"";"18 714"
"LU";"";"";"16 100";"200";"";"";"";"";"";"";"";"";"";"16 300"
"LV";"";"";"12 259";"";"";"";"";"";"";"";"";"";"";"12 259"
"NL";"Universal Pictures Int (NL)";"06/06/2002";"442 565";"";"";"";"";"";"";"";"";"20";"20";"442 585"
"NO";"UIP (NO)";"05/07/2002";"291 031";"";"";"";"250";"";"";"";"";"";"250";"291 281"
"PL";"";"";"314 002";"1 641";"";"";"";"";"";"";"";"";"";"315 643"
"RO";"";"";"18 718";"1 619";"317";"";"";"";"";"";"";"";"";"20 654"
"SE";"";"";"348 670";"793";"";"";"";"";"";"";"";"";"";"349 463"
"SI";"Karantanija Cinemas";"01/08/2002";"42 419";"";"";"";"112";"";"154";"";"";"";"266";"42 685"
"SK";"Tatra Film";"01/08/2002";"17 934";"";"";"";"";"";"";"";"";"";"";"17 934"
"TR";"";"";"131 374";"";"";"";"";"";"";"";"";"";"";"131 374"
"EUR EU";"";"";"10 191 504";"96 819";"822";"40";"112";"";"154";"24";"29";"87";"406";"10 289 591"
"EUR OBS";"";"";"10 938 857";"99 524";"822";"40";"362";"45";"154";"24";"29";"87";"701";"11 039 944"
"US_CA";"";"";"7 014 351";"";"";"";"";"";"";"";"";"";"";"7 014 351"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2016, 2014, 2012, 2011, 2007, 2005, 2004, 2003, 2002"
" - film_id : 18681"
