"Market";"Distributor";"Release date";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2015";"2008-2015";"Total since 2004"
"AT";"Constantin Film (AT)";"23/12/2004";"83 255";"95 660";"";"";"";"";"";"";"";"178 915"
"BE";"Alternative Films (BE)";"05/01/2005";"";"222 544";"110";"";"";"";"";"";"";"222 654"
"BG";"Aleksandra";"14/01/2005";"";"75 075";"";"";"";"";"";"";"";"75 075"
"CH";"";"";"";"94 579";"";"";"";"";"";"";"";"94 579"
"CZ";"SPI";"13/01/2005";"";"206 069";"2 422";"298";"16";"";"";"";"16";"208 805"
"DE";"Constantin Film (DE)";"23/12/2004";"530 225";"564 913";"";"";"";"";"";"49";"49";"1 095 187"
"DK";"Nordisk, Constantin, Fox";"26/11/2004";"94 609";"11 980";"";"";"";"";"";"";"";"106 589"
"EE";"MPDE";"22/01/2005";"";"14 203";"";"";"";"";"";"";"";"14 203"
"ES";"Tripictures";"22/12/2004";"";"2 206 851";"59";"";"82";"";"";"";"82";"2 206 992"
"FI";"Nordisk Film Theatrical Dist.";"26/11/2004";"61 543";"12 116";"";"";"";"";"";"";"";"73 659"
"FR";"";"";"";"1 240 000";"";"";"";"";"";"";"";"1 240 000"
"GB";"Warner Bros. (GB)";"07/01/2005";"";"583 305";"";"";"";"";"";"";"";"583 305"
"HU";"";"";"146 394";"";"";"";"";"";"";"";"";"146 394"
"IS";"";"";"";"7 460";"";"";"";"";"";"";"";"7 460"
"IT";"";"";"";"1 395 952";"";"";"";"";"";"";"";"1 395 952"
"LT";"Acme (LT)";"10/12/2004";"38 136";"15 371";"";"";"";"";"";"";"";"53 507"
"LU";"Alternative Film (LU)";"05/01/2005";"";"8 196";"";"";"";"";"";"";"";"8 196"
"LV";"Acme (LV)";"03/12/2004";"22 648";"8 771";"";"";"";"";"";"";"";"31 419"
"NL";"A-Film (NL)";"23/12/2004";"60 097";"126 785";"35";"";"";"66";"98";"";"164";"187 081"
"NO";"Columbia TriStar Nordisk";"03/12/2004";"82 048";"17 785";"";"";"";"";"";"";"";"99 833"
"PL";"Monolith/SPI";"01/01/2005";"249 044";"438 447";"";"";"";"";"";"";"";"687 491"
"PT";"ZON Lusomundo Audiovisuais";"02/12/2004";"209 659";"38 067";"";"";"";"";"";"";"";"247 726"
"RO";"Prooptiki (RO)";"14/01/2005";"";"96 159";"20";"";"";"";"";"";"";"96 179"
"SE";"Sony Pictures Releasing (SE)";"26/11/2004";"107 810";"14 819";"";"";"";"";"";"";"";"122 629"
"SI";"Blitz Film & Video Distribution (SI)";"10/02/2005";"";"33 819";"87";"";"";"";"";"";"";"33 906"
"SK";"SPI SK";"13/01/2005";"";"78 396";"1 499";"1 069";"";"146";"";"";"146";"81 110"
"TR";"Pinema";"26/11/2004";"301 862";"";"";"";"";"";"";"";"";"301 862"
"EUR EU";"";"";"1 603 420";"7 487 498";"4 232";"1 367";"98";"212";"98";"49";"457";"9 096 974"
"EUR OBS";"";"";"1 987 330";"7 607 322";"4 232";"1 367";"98";"212";"98";"49";"457";"9 600 708"
"US_CA";"";"";"5 475 040";"";"";"";"";"";"";"";"";"5 475 040"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2015, 2010, 2009, 2008, 2007, 2006, 2005, 2004"
" - film_id : 21953"
