"Market";"Distributor";"Release date";"2017";"2018";"2019";"2020";"Total since 2017"
"AT";"Constantin Film (AT)";"20/07/2017";"111 582";"";"";"";"111 582"
"BA";"Blitz Film & Video Distribution (BA)";"27/07/2017";"8 242";"";"";"";"8 242"
"BE";"Belga Films (BE)";"26/07/2017";"176 611";"";"";"";"176 611"
"BG";"A Plus Films";"21/07/2017";"47 641";"";"";"";"47 641"
"CH";"Pathé Films (CH)";"20/07/2017";"112 975";"";"";"";"112 975"
"CY";"Odeon (CY)";"31/08/2017";"3 126";"";"";"";"3 126"
"CZ";"Bioscop (AQS)";"20/07/2017";"98 729";"690";"";"";"99 419"
"DE";"LEONINE Distribution GmbH";"20/07/2017";"1 057 171";"1 373";"161";"124";"1 058 829"
"DK";"UIP (DK)";"03/08/2017";"54 763";"";"";"";"54 763"
"EE";"Acme (EE)";"28/07/2017";"18 472";"";"";"";"18 472"
"ES";"Aurum Producciones";"18/08/2017";"534 917";"132";"";"";"535 049"
"FI";"Future Film (FI)";"26/07/2017";"38 222";"";"";"";"38 222"
"FR";"EuropaCorp (FR)";"26/07/2017";"4 041 205";"";"";"";"4 041 205"
"GB";"Lionsgate (GB)";"04/08/2017";"532 615";"";"";"";"532 615"
"GR";"Odeon (GR)";"31/08/2017";"32 490";"";"";"";"32 490"
"HR";"Blitz Film & Video Distribution (HR)";"27/07/2017";"70 852";"";"";"";"70 852"
"HU";"Big Bang Media";"20/07/2017";"150 239";"15";"";"";"150 254"
"IS";"Myndform";"13/07/2017";"6 928";"";"";"";"6 928"
"IT";"01 Distribution";"21/09/2017";"357 565";"173";"";"";"357 738"
"LT";"Acme (LT)";"28/07/2017";"19 485";"";"";"";"19 485"
"LU";"Belga Film (LU)";"26/07/2017";"9 638";"";"";"";"9 638"
"LV";"Acme (LV)";"28/07/2017";"18 382";"27";"";"";"18 409"
"MK";"Blitz Film (MK)";"";"2 083";"";"";"";"2 083"
"NL";"Imagine Film Distribution (NL)";"26/07/2017";"139 294";"";"";"";"139 294"
"NO";"UIP (NO)";"04/08/2017";"27 858";"";"";"";"27 858"
"PL";"Kino Swiat";"04/08/2017";"424 621";"";"";"";"424 621"
"PT";"NOS Lusomundo Audiovisuais (PT)";"27/07/2017";"108 959";"";"";"";"108 959"
"RO";"Ro-Image 2000";"21/07/2017";"97 875";"";"";"";"97 875"
"RU";"Nashe Kino";"10/08/2017";"2 908 200";"42";"";"";"2 908 242"
"SE";"Noble Entertainment";"02/08/2017";"64 725";"";"";"";"64 725"
"SI";"Blitz Film & Video Distribution (SI)";"27/07/2017";"13 082";"";"";"";"13 082"
"SK";"Magic Box Slovakia";"20/07/2017";"40 979";"1 185";"";"";"42 164"
"TR";"Tme";"28/07/2017";"191 779";"";"";"";"191 779"
"EUR EU";"";"";"8 263 240";"3 595";"161";"124";"8 267 120"
"EUR OBS";"";"";"11 521 305";"3 637";"161";"124";"11 525 227"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017"
" - film_id : 72565"
