"Market";"Distributor";"Release date";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2019";"2006-2019";"Total since 2002"
"AT";"Polyfilm";"13/09/2002";"113 384";"4 653";"199";"35";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"118 271"
"BE";"ABC Distribution";"13/02/2002";"126 656";"5 725";"153";"40";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"132 574"
"BG";"Big Bang";"22/11/2002";"4 349";"7 852";"8 074";"100";"";"31";"";"";"";"";"";"";"";"";"";"";"";"31";"20 406"
"CH";"Eigenverleih / Propre Distribution (CH)";"13/02/2002";"214 346";"";"";"";"";"";"63";"64";"60";"61";"149";"";"";"";"";"79";"";"476";"214 822"
"CY";"";"";"797";"341";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 138"
"CZ";"SPI";"14/11/2002";"13 087";"6 788";"679";"541";"";"85";"";"80";"";"";"";"";"";"";"";"";"";"165";"21 260"
"DE";"Constantin Film (DE)";"11/07/2002";"1 345 630";"84 137";"";"";"";"";"";"";"";"";"";"";"73";"31";"411";"98";"";"613";"1 430 380"
"DK";"Camera Film";"27/12/2002";"1 650";"38 469";"29";"181";"13";"83";"21";"";"";"";"";"";"";"";"";"";"";"117";"40 446"
"EE";"MPDE";"31/01/2003";"";"3 176";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3 176"
"ES";"Alta Classics";"28/11/2002";"190 592";"64 337";"186";"";"111";"";"";"";"";"";"";"31";"";"";"";"";"";"142";"255 257"
"FI";"Future Film (FI)";"27/09/2002";"4 205";"262";"";"45";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4 512"
"FR";"";"";"3 550 135";"11 624";"139";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3 561 898"
"GB";"UGC Films (GB)";"29/11/2002";"94 073";"19 175";"";"";"";"";"";"";"";"";"";"";"41";"100";"";"110";"";"251";"113 499"
"GR";"Rosebud";"05/04/2002";"58 200";"626";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"58 826"
"HU";"";"";"31 301";"1 678";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"32 979"
"IE";"";"";"12 488";"3 922";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"16 410"
"IS";"";"";"";"1 839";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 839"
"IT";"Bim Distribuzione";"17/10/2002";"482 448";"62 571";"";"";"";"";"";"";"153";"";"";"";"";"";"";"";"";"153";"545 172"
"LT";"Acme (LT)";"23/08/2002";"10 916";"";"24";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"10 940"
"LU";"";"";"12 100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"12 100"
"LV";"Kinogalerija";"";"13 378";"";"";"";"";"";"";"";"";"";"";"";"511";"";"";"";"";"511";"13 889"
"NL";"Cinemien";"18/04/2002";"116 931";"1 691";"868";"";"174";"324";"256";"177";"";"";"137";"32";"";"";"";"";"72";"1 172";"120 662"
"NO";"";"";"9 032";"303";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"9 335"
"PL";"Gutek Film";"18/10/2002";"178 422";"16 212";"720";"440";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"195 794"
"PT";"Atalanta Filmes";"18/10/2002";"46 827";"7 381";"";"";"";"";"";"41";"";"";"";"";"";"";"";"";"";"41";"54 249"
"RO";"";"";"6 072";"846";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"6 918"
"SE";"Triangelfilm";"13/12/2002";"16 428";"25 060";"44";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"41 532"
"SI";"Ljubljanski Kinematografi";"28/11/2002";"";"";"";"";"11";"";"";"";"";"";"";"";"";"";"";"";"";"11";"11"
"SK";"Film Europe (SK)";"23/01/2003";"";"13 472";"543";"";"27";"";"";"120";"";"";"100";"";"";"";"";"";"";"247";"14 262"
"TR";"Chantier Films";"06/12/2002";"38 107";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"38 107"
"EUR EU";"";"";"6 430 069";"379 998";"11 658";"1 382";"336";"523";"277";"418";"153";"";"237";"63";"625";"131";"411";"208";"72";"3 454";"6 826 561"
"EUR OBS";"";"";"6 691 554";"382 140";"11 658";"1 382";"336";"523";"340";"482";"213";"61";"386";"63";"625";"131";"411";"287";"72";"3 930";"7 090 664"
"US_CA";"";"";"531 239";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"531 239"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002"
" - film_id : 18749"
