"Market";"Distributor";"Release date";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2010-2020";"Total since 2006"
"AT";"Constantin/Tobis (AT)";"22/12/2006";"29 223";"118 230";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"147 453"
"BE";"Belga Films (BE)";"15/11/2006";"223 310";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"223 310"
"CH";"Eigenverleih / Propre Distribution (CH)";"03/11/2006";"33 899";"180 843";"182";"6";"31";"8";"56";"";"57";"";"";"49";"";"";"98";"299";"215 229"
"CZ";"Bioscop (AQS)";"22/02/2007";"";"88 373";"1 344";"378";"";"";"";"30";"25";"29";"44";"";"";"";"";"128";"90 223"
"DE";"Tobis Film (DE)";"21/12/2006";"148 747";"711 900";"";"";"";"";"";"";"25";"123";"214";"25";"56";"73";"";"516";"861 163"
"DK";"Nordisk Film Biografer";"27/10/2006";"97 286";"39 879";"198";"26";"116";"";"";"";"";"";"";"";"";"";"";"116";"137 505"
"EE";"";"13/01/2007";"";"10 958";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"10 958"
"ES";"Paramount Spain";"26/12/2006";"169 221";"1 703 293";"";"";"9";"";"";"";"";"";"";"";"";"";"";"9";"1 872 523"
"FI";"Nordisk Film Theatrical Dist.";"17/11/2006";"23 162";"28 973";"11";"";"";"";"";"";"";"";"";"";"";"";"";"";"52 146"
"FR";"Mars Films (FR)";"15/11/2006";"536 040";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"536 040"
"GB";"Paramount (GB)";"19/01/2007";"";"544 897";"653";"";"";"";"";"";"3";"21";"";"";"";"";"";"24";"545 574"
"HU";"Budapestfilm";"08/02/2007";"";"60 971";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"60 971"
"IS";"";"";"";"9 835";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"9 835"
"IT";"01 Distribution";"27/10/2006";"421 503";"47 457";"754";"";"20";"";"";"";"";"";"";"";"";"";"";"20";"469 734"
"LT";"Acme (LT)";"27/10/2006";"";"";"";"";"39";"";"";"";"";"";"";"";"";"";"";"39";"39"
"LU";"";"17/11/2006";"7 500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7 500"
"LV";"Acme (LV)";"10/11/2006";"11 780";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"11 780"
"NL";"Independent Films (NL)";"02/11/2006";"137 383";"113 977";"779";"103";"";"33";"";"";"13";"";"19";"";"";"61";"26";"152";"252 394"
"NO";"Nordisk Filmdistribusjon";"17/11/2006";"43 141";"39 257";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"82 398"
"PL";"Monolith Plus";"10/11/2006";"183 569";"43 355";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"226 924"
"PT";"NOS Lusomundo Audiovisuais (PT)";"28/12/2006";"24 692";"235 510";"";"";"";"";"";"";"";"";"33";"";"";"";"";"33";"260 235"
"RO";"Romaniafilm-Prorom";"02/02/2007";"";"25 383";"145";"";"";"";"";"";"";"";"";"";"";"";"";"";"25 528"
"SE";"Nordisk Film";"27/10/2006";"99 811";"51 825";"19";"";"";"";"";"";"";"";"";"";"";"";"";"";"151 655"
"SI";"Blitz Film & Video Distribution (SI)";"18/01/2007";"1 321";"31 630";"241";"";"";"";"";"";"";"";"";"";"";"";"";"";"33 192"
"SK";"Magic Box Slovakia";"22/03/2007";"";"11 033";"333";"";"";"";"";"";"";"";"";"";"";"";"";"";"11 366"
"TR";"UIP (TR)";"10/11/2006";"191 309";"27 129";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"218 438"
"EUR EU";"";"";"2 114 548";"3 867 644";"4 477";"507";"184";"33";"";"30";"66";"173";"310";"25";"56";"134";"26";"1 037";"5 988 213"
"EUR OBS";"";"";"2 382 897";"4 124 708";"4 659";"513";"215";"41";"56";"30";"123";"173";"310";"74";"56";"134";"124";"1 336";"6 514 113"
"US_CA";"Paramount Vantage (US)";"10/11/2006";"3 054 195";"2 078 176";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5 132 371"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006"
" - film_id : 25639"
