"Market";"Distributor";"Release date";"2015";"2016";"2017";"2018";"2019";"2020";"2019-2020";"Total since 2015"
"AT";"Warner Bros. (AT)";"10/12/2015";"37 005";"15 315";"";"";"";"";"";"52 320"
"BA";"Blitz Film & Video Distribution (BA)";"";"2 455";"";"";"";"";"";"";"2 455"
"BE";"Alternative Films (BE)";"29/07/2015";"125 682";"7 968";"1 407";"1 026";"210";"23";"233";"136 316"
"BG";"Aleksandra";"25/12/2015";"12 496";"13 528";"";"";"";"";"";"26 024"
"CH";"Impuls Pictures";"29/07/2015";"53 637";"11 675";"276";"44";"701";"123";"824";"66 456"
"CY";"Indipentant - Feelgood (CY)";"01/01/2016";"";"7 361";"";"";"";"";"";"7 361"
"CZ";"A-Company Czech";"03/12/2015";"59 848";"59 206";"6 394";"1 632";"";"";"";"127 080"
"DE";"Warner Bros. (DE)";"10/12/2015";"219 103";"101 440";"4 489";"1 752";"";"";"";"326 784"
"DK";"Scanbox Entertainment (DK)";"09/06/2016";"";"32 746";"";"";"";"";"";"32 746"
"EE";"Acme (EE)";"27/11/2015";"23 813";"3 463";"";"";"";"";"";"27 276"
"ES";"Wanda Vision";"06/09/2016";"";"117 201";"7 680";"841";"641";"";"641";"126 363"
"FI";"Cinema Mondo";"10/06/2016";"";"14 955";"149";"133";"";"";"";"15 237"
"FR";"Paramount Pictures (FR)";"29/07/2015";"1 914 354";"";"";"";"";"1 065";"1 065";"1 915 419"
"GR";"Feelgood";"31/12/2015";"1 491";"117 734";"725";"241";"211";"";"211";"120 402"
"HR";"Discovery (HR)";"05/11/2015";"53 624";"1 814";"1 170";"1 103";"";"";"";"57 711"
"HU";"A Company";"05/11/2015";"77 215";"7 188";"264";"";"177";"86";"263";"84 930"
"IT";"Lucky Red";"01/01/2016";"2 800";"1 662 757";"644";"23";"601";"";"601";"1 666 825"
"LT";"Acme (LT)";"14/11/2015";"45 553";"7 181";"194";"205";"309";"";"309";"53 442"
"LU";"Alternative Film (LU)";"29/07/2015";"9 137";"";"";"88";"";"";"";"9 225"
"LV";"Acme (LV)";"13/11/2015";"26 217";"891";"";"";"";"";"";"27 108"
"ME";"";"";"3 767";"3 767";"";"";"";"";"";"7 534"
"NL";"Independent Films (NL)";"29/07/2015";"59 970";"1 707";"979";"310";"672";"373";"1 045";"64 011"
"NO";"Selmer Media";"27/05/2016";"";"26 672";"1 700";"203";"276";"64";"340";"28 915"
"PL";"Kino Swiat";"07/08/2015";"776 128";"16 818";"2 928";"2 282";"";"";"";"798 156"
"PT";"Pris Audiovisuais";"03/12/2015";"108 956";"12 180";"99";"1 042";"";"";"";"122 277"
"RO";"Intercomfilm";"04/12/2015";"32 960";"3 756";"";"";"";"";"";"36 716"
"RU";"Volga (RU)";"24/12/2015";"356 308";"496 188";"124";"158";"";"";"";"852 778"
"SE";"Scanbox Entertainment (SE)";"10/06/2016";"";"27 055";"";"";"";"";"";"27 055"
"SI";"Cinemania Group";"19/11/2015";"17 814";"8 000";"774";"339";"105";"";"105";"27 032"
"SK";"Magic Box Slovakia";"03/12/2015";"25 240";"20 163";"862";"146";"71";"245";"316";"46 727"
"TR";"Mars Dagitim";"23/09/2015";"324 707";"4 304";"";"";"";"";"";"329 011"
"EUR EU";"";"";"3 629 406";"2 260 427";"28 758";"11 163";"2 997";"1 792";"4 789";"5 934 543"
"EUR OBS";"";"";"4 370 280";"2 803 033";"30 858";"11 568";"3 974";"1 979";"5 953";"7 221 692"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015"
" - film_id : 63955"
