"Market";"Distributor";"Release date";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2015-2020";"Total since 2011"
"AT";"Filmladen";"02/03/2012";"";"72 621";"225";"";"";"";"";"";"";"";"";"72 846"
"BE";"Lumiere Publishing (BE)";"15/02/2012";"";"126 474";"428";"";"";"";"";"";"";"";"";"126 902"
"CH";"Pathé Films (CH)";"27/01/2012";"";"129 620";"";"";"";"23";"";"";"";"";"23";"129 643"
"CY";"Rosebud (CY)";"16/03/2012";"";"4 726";"";"";"";"";"";"";"";"";"";"4 726"
"CZ";"Bioscop (AQS)";"01/03/2012";"";"132 866";"3 274";"574";"114";"200";"185";"88";"";"4";"591";"137 305"
"DE";"Concorde Filmverleih";"01/03/2012";"";"641 537";"3 280";"454";"217";"100";"12";"119";"124";"";"572";"645 843"
"DK";"Scanbox Entertainment (DK)";"03/02/2012";"";"204 550";"";"";"";"";"";"";"";"";"";"204 550"
"EE";"Acme (EE)";"17/02/2012";"";"18 584";"231";"";"";"";"";"";"";"";"";"18 815"
"ES";"Wanda Vision";"05/01/2012";"";"658 927";"";"";"";"";"13";"";"";"";"13";"658 940"
"FI";"Scanbox Finland";"27/01/2012";"";"97 552";"26";"";"";"";"";"";"";"";"";"97 578"
"FR";"Pathé Distribution (FR)";"15/02/2012";"";"603 972";"";"";"";"";"";"";"";"";"";"603 972"
"GB";"20th Century Fox (GB)";"06/01/2012";"";"1 554 887";"";"";"";"";"";"";"";"";"";"1 554 887"
"GR";"Odeon (GR)";"12/01/2012";"";"106 058";"";"";"";"";"";"";"";"";"";"106 058"
"HR";"Pa-Dora";"08/03/2012";"";"14 088";"";"";"";"";"";"";"";"";"";"14 088"
"HU";"Budapestfilm";"02/02/2012";"";"78 016";"620";"50";"";"";"";"";"";"";"";"78 686"
"IS";"Myndform";"13/01/2012";"";"6 033";"";"";"";"";"";"";"";"";"";"6 033"
"IT";"Bim Distribuzione";"27/01/2012";"";"565 149";"4 174";"370";"";"";"";"";"";"";"";"569 693"
"LT";"Acme (LT)";"03/02/2012";"";"10 590";"";"4";"";"";"";"";"";"";"";"10 594"
"LU";"Lumiere Publishing (LU)";"08/02/2012";"";"9 074";"";"";"";"";"";"";"";"";"";"9 074"
"LV";"Acme (LV)";"17/02/2012";"";"14 594";"";"";"";"";"";"";"";"";"";"14 594"
"MK";"MCF (MK)";"15/03/2012";"";"144";"";"";"";"";"";"";"";"";"";"144"
"NL";"Lumiere Publishing (NL)";"12/01/2012";"1 063";"222 609";"564";"";"";"";"";"";"";"";"";"224 236"
"NO";"Scanbox Entertainment (NO)";"03/02/2012";"";"148 432";"48";"";"";"";"";"";"";"";"";"148 480"
"PL";"Best Film";"10/02/2012";"";"333 117";"";"";"";"";"";"";"";"";"";"333 117"
"PT";"Pris Audiovisuais";"09/02/2012";"";"155 725";"25";"";"";"";"";"";"";"";"";"155 750"
"RO";"New Films Intl.";"27/04/2012";"";"10 672";"";"";"";"";"";"";"";"";"";"10 672"
"RU";"Caroprokat";"01/03/2012";"";"118 844";"";"";"";"";"";"";"";"";"";"118 844"
"SE";"Scanbox Entertainment (SE)";"03/02/2012";"";"222 847";"303";"";"";"";"";"";"";"";"";"223 150"
"SI";"Fivia";"01/03/2012";"";"20 216";"183";"120";"";"";"";"";"";"";"";"20 519"
"SK";"Magic Box Slovakia";"01/03/2012";"";"22 105";"1 222";"5";"12";"";"";"";"";"";"12";"23 344"
"TR";"Chantier Films";"13/01/2012";"";"42 476";"56";"";"";"";"";"";"";"";"";"42 532"
"EUR EU";"";"";"1 063";"5 901 556";"14 555";"1 577";"343";"300";"210";"207";"124";"4";"1 188";"5 919 939"
"EUR OBS";"";"";"1 063";"6 347 105";"14 659";"1 577";"343";"323";"210";"207";"124";"4";"1 211";"6 365 615"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011"
" - film_id : 40134"
