"Market";"Distributor";"Release date";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2013-2019";"Total since 2009"
"AT";"Tobis Film (AT)";"27/11/2009";"23 371";"2 138";"";"";"";"";"";"";"";"";"";"";"25 509"
"BE";"Belga Films (BE)";"21/12/2009";"209 187";"";"";"";"";"";"";"";"";"";"";"";"209 187"
"BG";"Aleksandra";"04/12/2009";"14 088";"10 175";"";"";"";"";"";"";"";"";"";"";"24 263"
"CH";"Pathé Films (CH)";"26/11/2009";"34 375";"9 971";"";"";"";"";"";"";"";"";"";"";"44 346"
"CZ";"Bioscop (AQS)";"03/12/2009";"16 878";"23 147";"1 122";"257";"1 792";"437";"282";"129";"44";"100";"100";"2 884";"44 288"
"DE";"Tobis Film (DE)";"26/11/2009";"211 327";"21 472";"";"156";"";"";"";"";"";"";"";"";"232 955"
"DK";"Scanbox Entertainment (DK)";"04/12/2009";"36 580";"7 444";"";"";"";"";"";"";"";"";"";"";"44 024"
"ES";"DeAPlaneta";"19/02/2010";"";"328 026";"1 490";"61";"";"";"";"";"";"";"";"";"329 577"
"FI";"Scanbox Finland";"04/12/2009";"13 401";"1 904";"";"";"";"";"";"";"";"";"";"";"15 305"
"FR";"EuropaCorp (FR)";"02/12/2009";"3 346 900";"570 800";"";"";"";"";"";"";"";"";"";"";"3 917 700"
"GB";"Entertainment (GB)";"24/12/2010";"";"79 349";"61 948";"";"";"";"";"";"";"";"";"";"141 297"
"GR";"Audiovisual";"03/12/2009";"";"14 143";"154";"";"";"";"";"";"";"";"";"";"14 297"
"HR";"Blitz Film & Video Distribution (HR)";"31/12/2009";"";"50 886";"";"";"";"";"";"";"";"";"";"";"50 886"
"HU";"Forum-Hungary";"03/12/2009";"41 332";"";"";"";"";"";"";"";"";"";"";"";"41 332"
"IS";"Myndform";"04/12/2009";"";"1 169";"";"";"";"";"";"";"";"";"";"";"1 169"
"IT";"Moviemax";"30/12/2009";"9 695";"101 686";"93";"";"";"";"";"";"";"";"";"";"111 474"
"LT";"Acme (LT)";"05/11/2010";"";"60";"54";"";"";"";"";"";"";"";"";"";"114"
"LU";"Belga Film (LU)";"12/12/2009";"";"3 393";"";"";"";"";"";"";"";"";"";"";"3 393"
"NL";"Independent Films (NL)";"09/12/2009";"23 625";"7 196";"";"";"";"";"";"";"";"";"";"";"30 821"
"NO";"Euforia Film";"04/12/2009";"10 805";"4 338";"";"";"";"";"";"";"";"";"";"";"15 143"
"PL";"Monolith";"01/01/2010";"23 823";"103 362";"913";"605";"";"";"";"";"";"";"";"";"128 703"
"PT";"ZON Lusomundo Audiovisuais";"10/12/2009";"112 813";"23 174";"281";"106";"106";"";"";"";"";"";"";"106";"136 480"
"RO";"Ro-Image 2000";"04/12/2009";"1 670";"2 581";"";"";"";"";"";"";"";"";"";"";"4 251"
"RU";"Central Partnership (RU)";"03/12/2009";"";"6 623";"";"";"";"";"";"";"";"";"";"";"6 623"
"SE";"Scanbox Entertainment (SE)";"04/12/2009";"33 708";"17 123";"";"";"";"";"";"";"";"";"";"";"50 831"
"SK";"Magic Box Slovakia";"04/03/2010";"";"8 050";"471";"54";"";"";"";"";"120";"";"";"120";"8 695"
"TR";"UIP (TR)";"19/02/2010";"";"29 571";"";"";"";"";"";"";"";"";"";"";"29 571"
"EUR EU";"";"";"4 118 398";"1 376 109";"66 526";"1 239";"1 898";"437";"282";"129";"164";"100";"100";"3 110";"5 565 382"
"EUR OBS";"";"";"4 163 578";"1 427 781";"66 526";"1 239";"1 898";"437";"282";"129";"164";"100";"100";"3 110";"5 662 234"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009"
" - film_id : 31608"
