"Market";"Distributor";"Release date";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2011";"2013";"2005-2013";"Total since 2001"
"AT";"";"";"";"31 827";"2 010";"1 696";"";"";"";"";"";"";"";"";"35 533"
"BE";"";"";"93 434";"71 685";"";"";"";"";"";"";"";"";"";"";"165 119"
"CH";"Filmcoopi Zürich";"21/11/2001";"49 771";"55 662";"";"";"";"";"";"";"";"96";"";"96";"105 529"
"DE";"Prokino Filmverleih";"30/05/2002";"";"257 818";"2 970";"2 234";"1 426";"";"";"";"";"";"";"1 426";"264 448"
"ES";"Vertigo Films (ES)";"26/04/2002";"";"200 406";"181";"";"";"";"";"62";"50";"";"984";"1 096";"201 683"
"FR";"UGC Distribution";"05/11/2001";"3 141 375";"1 091 053";"1 170";"517";"";"9";"";"";"";"";"";"9";"4 234 124"
"GR";"Prooptiki (GR)";"02/08/2002";"";"2 903";"";"";"";"";"";"";"";"";"";"";"2 903"
"HU";"";"";"";"4 417";"4 110";"";"";"";"";"";"";"";"";"";"8 527"
"IT";"Lucky Red";"15/03/2002";"";"345 000";"16 400";"1 200";"122";"";"98";"";"";"";"";"220";"362 820"
"LU";"";"";"4 361";"1 975";"";"";"";"";"";"";"";"";"";"";"6 336"
"RO";"IF-Independenta Film";"29/11/2002";"";"1 975";"1 088";"76";"";"";"";"";"";"";"";"";"3 139"
"EUR EU";"";"";"3 239 170";"2 009 059";"27 929";"5 723";"1 548";"9";"98";"62";"50";"";"984";"2 751";"5 284 632"
"EUR OBS";"";"";"3 288 941";"2 064 721";"27 929";"5 723";"1 548";"9";"98";"62";"50";"96";"984";"2 847";"5 390 161"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2013, 2011, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002, 2001"
" - film_id : 17537"
