"Market";"Distributor";"Release date";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2020";"2004-2020";"Total since 2000"
"AT";"";"";"23 990";"12 534";"61";"";"";"";"";"";"";"";"";"";"";"";"";"";"36 585"
"BE";"";"";"102 244";"3 957";"97";"";"";"";"";"";"";"";"";"";"";"";"";"";"106 298"
"CH";"Eigenverleih / Propre Distribution (CH)";"01/03/2000";"111 199";"26 570";"";"";"";"";"";"167";"109";"79";"";"";"";"116";"139";"610";"138 379"
"CY";"";"";"";"";"340";"";"";"";"";"";"";"";"";"";"";"";"";"";"340"
"CZ";"";"22/03/2001";"";"6 710";"";"10";"";"";"";"";"";"";"";"";"";"";"";"";"6 720"
"DE";"Tobis Film (DE)";"";"87 372";"28 135";"1 542";"";"";"";"";"";"";"";"";"";"";"";"";"";"117 049"
"DK";"Camera Film";"10/05/2001";"";"11 157";"844";"215";"";"";"";"";"";"";"";"";"";"";"";"";"12 216"
"ES";"Vertigo Films (ES)";"17/11/2000";"127 790";"53 891";"746";"206";"55";"";"21";"79";"";"";"";"";"";"";"";"155";"182 788"
"FI";"";"";"";"3 201";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3 201"
"FR";"Pathé Distribution (FR)";"01/03/2000";"3 709 089";"86 068";"610";"2 873";"328";"";"111";"";"";"";"";"";"";"";"";"439";"3 799 079"
"GB";"";"";"";"99 562";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"99 562"
"GR";"Prooptiki (GR)";"08/12/2000";"2 027";"520";"204";"";"";"";"";"";"";"";"";"";"";"";"";"";"2 751"
"HU";"";"";"";"16 038";"";"709";"";"";"";"";"";"";"";"";"";"";"";"";"16 747"
"IT";"";"";"";"489 712";"15 000";"";"";"66";"";"";"";"";"";"";"";"";"";"66";"504 778"
"LU";"";"";"7 279";"614";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7 893"
"NL";"A-Film (NL)";"15/03/2001";"";"16 739";"439";"";"";"";"";"";"47";"";"";"";"";"";"";"47";"17 225"
"NO";"Arthaus (NO)";"23/03/2001";"";"10 741";"266";"";"";"";"";"";"";"";"";"";"42";"";"";"42";"11 049"
"PL";"Gutek Film";"08/03/2002";"";"";"118 674";"2 472";"";"";"";"";"";"";"";"";"";"";"";"";"121 146"
"PT";"Atalanta Filmes";"16/11/2001";"";"23 176";"33 167";"";"";"";"";"";"";"";"49";"";"";"";"";"49";"56 392"
"RO";"IF-Independenta Film";"12/10/2001";"";"";"337";"";"";"";"";"";"";"37";"";"";"";"";"";"37";"374"
"SE";"Folkets Bio";"06/04/2001";"";"55 221";"7 409";"293";"245";"114";"";"39";"10";"";"";"12";"";"100";"";"520";"63 443"
"EUR EU";"";"";"4 059 791";"907 235";"179 470";"6 778";"628";"180";"132";"118";"57";"37";"49";"12";"";"100";"";"1 313";"5 154 587"
"EUR OBS";"";"";"4 170 990";"944 546";"179 736";"6 778";"628";"180";"132";"285";"166";"116";"49";"12";"42";"216";"139";"1 965";"5 304 015"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002, 2001, 2000"
" - film_id : 15298"
