"Market";"Distributor";"Release date";"2005";"2006";"2007";"2008";"2009";"2010";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2009-2019";"Total since 2005"
"AT";"Tobis Film (AT)";"22/12/2005";"15 471";"16 833";"1 954";"125";"";"";"";"";"";"";"";"";"";"";"";"34 383"
"BE";"Alternative Films (BE)";"19/10/2005";"86 430";"12 939";"1 737";"280";"";"";"";"";"";"";"";"";"";"";"";"101 386"
"CH";"Pathé Films (CH)";"19/10/2005";"55 436";"65 625";"649";"160";"";"6";"382";"";"";"";"";"";"";"113";"501";"122 371"
"CY";"Odeon (CY)";"03/11/2005";"6 199";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"6 199"
"CZ";"SPI";"29/09/2005";"32 852";"26 128";"5 693";"1 759";"1 762";"2 332";"860";"";"";"";"";"";"";"";"4 954";"71 386"
"DE";"Tobis Film (DE)";"22/12/2005";"128 741";"222 427";"6 742";"4 199";"";"";"";"";"98";"236";"111";"50";"20";"";"515";"362 624"
"EE";"MPDE";"17/12/2005";"1 139";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 139"
"ES";"Filmax (SOGEDASA)";"30/11/2005";"498 207";"87 534";"151";"21";"95";"";"";"";"";"";"";"";"";"";"95";"586 008"
"FR";"";"";"1 380 000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 380 000"
"GB";"Pathé Distribution (GB)";"07/10/2005";"541 340";"10 121";"";"";"";"";"";"";"19";"";"";"";"";"";"19";"551 480"
"GR";"Odeon (GR)";"03/11/2005";"70 713";"7 450";"1 150";"878";"";"";"";"";"";"";"";"";"";"";"";"80 191"
"HR";"Blitz Film & Video Distribution (HR)";"";"";"";"508";"";"";"";"";"";"";"";"";"";"";"";"";"508"
"HU";"Forum-Hungary";"17/11/2005";"8 929";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"8 929"
"IS";"";"";"";"4 063";"";"";"";"";"";"";"";"";"";"";"";"";"";"4 063"
"IT";"Medusa Film";"21/10/2005";"906 126";"19 623";"1 102";"207";"";"";"140";"300";"";"";"";"";"";"";"440";"927 498"
"LU";"Alternative Film (LU)";"19/10/2005";"7 186";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7 186"
"LV";"Acme (LV)";"09/12/2005";"4 742";"5 015";"";"";"";"";"";"";"";"";"";"";"";"";"";"9 757"
"NL";"A-Film (NL)";"27/10/2005";"17 578";"2 156";"";"50";"";"122";"";"";"";"";"";"";"";"";"122";"19 906"
"NO";"Nordisk Filmdistribusjon";"29/09/2006";"";"6 337";"2 471";"";"";"";"";"";"";"";"";"";"";"";"";"8 808"
"PL";"Monolith/SPI";"30/09/2005";"446 840";"3 588";"1 386";"995";"";"";"";"";"";"";"";"";"";"";"";"452 809"
"PT";"ZON Lusomundo Audiovisuais";"01/12/2005";"34 362";"8 419";"";"";"";"";"";"";"";"";"";"";"";"";"";"42 781"
"RO";"IF-Independenta Film";"10/03/2006";"";"5 370";"";"";"991";"9";"";"";"";"";"10";"";"";"";"1 010";"6 380"
"SI";"Blitz Film & Video Distribution (SI)";"15/06/2006";"";"4 468";"353";"";"";"";"";"";"";"";"";"";"";"";"";"4 821"
"SK";"Film Europe (SK)";"26/01/2006";"";"7 099";"911";"270";"";"";"";"";"7";"";"";"";"";"";"7";"8 287"
"TR";"UIP (TR)";"02/12/2005";"24 764";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"24 764"
"EUR EU";"";"";"4 186 855";"439 170";"21 687";"8 784";"2 848";"2 463";"1 000";"300";"124";"236";"121";"50";"20";"";"7 162";"4 663 658"
"EUR OBS";"";"";"4 267 055";"515 195";"24 807";"8 944";"2 848";"2 469";"1 382";"300";"124";"236";"121";"50";"20";"113";"7 663";"4 823 664"
"US_CA";"";"";"320 655";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"320 655"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2010, 2009, 2008, 2007, 2006, 2005"
" - film_id : 23743"
