"Market";"Distributor";"Release date";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2004-2020";"Total since 2000"
"AT";"";"";"42 757";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"42 757"
"BE";"";"";"95 113";"3 494";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"98 607"
"BG";"";"";"1 822";"985";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2 807"
"CH";"Universal Pictures (CH)";"19/10/2000";"102 984";"9 195";"";"";"";"";"";"";"118";"258";"";"116";"133";"";"89";"26";"49";"118";"";"50";"90";"1 047";"113 226"
"CY";"";"";"";"2 265";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2 265"
"CZ";"Bontonfilm";"22/03/2001";"";"26 078";"";"28";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"26 106"
"DE";"UIP (DE)";"";"384 701";"68 917";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"453 618"
"DK";"Nordisk, Constantin, Fox";"06/10/2000";"43 435";"3 494";"118";"109";"";"56";"59";"7";"";"29";"11";"";"";"";"";"";"";"";"";"";"";"162";"47 318"
"ES";"Warner Sogefilms";"06/10/2000";"719 956";"33 925";"";"";"";"";"";"";"";"";"";"87";"";"";"";"";"";"";"";"";"";"87";"753 968"
"FI";"Nordisk Film Theatrical Dist.";"06/10/2000";"50 204";"";"";"";"";"33";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"33";"50 237"
"FR";"Bac Films";"30/08/2000";"1 406 549";"26 761";"4 088";"28 124";"106 264";"";"26 369";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"132 633";"1 598 155"
"GB";"Universal Pictures (GB)";"15/09/2000";"705 572";"";"";"";"";"";"";"";"";"";"";"";"";"";"635";"44";"217";"147";"";"";"";"1 043";"706 615"
"IS";"";"";"";"10 387";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"10 387"
"IT";"UIP (IT)";"10/11/2000";"407 249";"";"";"";"";"";"";"";"";"";"";"";"";"20";"";"";"";"53";"";"43";"";"116";"407 365"
"LU";"";"";"10 920";"1 480";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"12 400"
"NL";"Universal Pictures Int (NL)";"07/12/2000";"43 596";"";"";"";"";"";"30";"57";"95";"";"";"63";"";"168";"";"";"112";"199";"91";"";"";"815";"44 411"
"NO";"Nordisk Filmdistribusjon";"27/10/2000";"";"";"";"";"";"";"";"98";"";"";"21";"";"";"";"";"";"";"";"";"";"";"119";"119"
"PL";"";"";"";"59 761";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"59 761"
"RO";"Ro-Image 2000";"20/04/2001";"";"";"611";"";"";"";"";"";"";"";"";"";"";"";"179";"";"";"";"";"";"";"179";"790"
"SE";"Svenska Filminstitutet";"20/10/2000";"91 415";"";"";"6";"";"";"";"";"";"";"33";"";"";"";"";"";"";"";"";"";"";"33";"91 454"
"TR";"";"";"";"177 161";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"177 161"
"EUR EU";"";"";"4 003 289";"227 160";"4 817";"28 267";"106 264";"89";"26 458";"64";"95";"29";"44";"150";"";"188";"814";"44";"329";"399";"91";"43";"";"135 101";"4 398 634"
"EUR OBS";"";"";"4 106 273";"423 903";"4 817";"28 267";"106 264";"89";"26 458";"162";"213";"287";"65";"266";"133";"188";"903";"70";"378";"517";"91";"93";"90";"136 267";"4 699 527"
"US_CA";"";"";"352 114";"8 084 593";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"8 436 707"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002, 2001, 2000"
" - film_id : 15267"
