"Market";"Distributor";"Release date";"2000";"2001";"2002";"2003";"2004";"2005";"2007";"2008";"2010";"2011";"2004-2011";"Total since 2000"
"AT";"";"";"";"4 725";"";"";"";"";"";"";"";"";"";"4 725"
"BE";"";"";"67 767";"5 744";"840";"";"";"";"";"";"";"";"";"74 351"
"BG";"";"";"";"339";"";"";"";"";"";"";"";"";"";"339"
"CH";"Agora Films";"16/08/2000";"54 015";"18 838";"";"";"";"";"32";"65";"";"";"97";"72 950"
"CY";"";"";"";"";"372";"";"";"";"";"";"";"";"";"372"
"CZ";"Bontonfilm";"27/06/2002";"";"";"4 788";"6";"";"";"";"";"24";"";"24";"4 818"
"DE";"Concorde Filmverleih";"25/01/2001";"";"35 101";"";"";"";"";"";"";"";"";"";"35 101"
"DK";"";"";"";"4 945";"";"";"";"";"";"";"";"";"";"4 945"
"ES";"Vertigo Films (ES)";"30/11/2000";"64 241";"39 562";"258";"";"";"294";"";"";"261";"";"555";"104 616"
"FR";"";"";"1 843 358";"100 336";"406";"5 057";"262";"";"";"";"";"";"262";"1 949 419"
"GB";"Artificial Eye";"10/11/2000";"62 424";"";"";"";"";"";"";"";"";"";"";"62 424"
"GR";"Prooptiki (GR)";"20/10/2000";"10 236";"3 211";"364";"";"";"";"";"";"";"";"";"13 811"
"HU";"";"";"";"7 652";"";"";"";"";"";"";"";"";"";"7 652"
"IE";"";"";"3 219";"277";"";"";"";"";"";"";"";"";"";"3 496"
"IS";"";"";"";"";"";"609";"";"";"";"";"";"";"";"609"
"IT";"";"";"";"200 000";"10 000";"";"";"";"";"";"";"";"";"210 000"
"LU";"";"";"5 427";"56";"";"";"";"";"";"";"";"";"";"5 483"
"NL";"A-Film (NL)";"07/06/2001";"";"5 913";"342";"";"";"";"";"";"";"30";"30";"6 285"
"NO";"";"";"";"410";"";"";"";"";"";"";"";"";"";"410"
"PT";"";"";"";"2 763";"20";"";"";"";"";"";"";"";"";"2 783"
"RU";"";"";"3 498";"1 145";"";"";"";"";"";"";"";"";"";"4 643"
"SE";"";"";"";"4 193";"";"49";"";"";"";"";"";"";"";"4 242"
"EUR EU";"";"";"2 056 672";"414 817";"17 390";"5 112";"262";"294";"";"";"285";"30";"871";"2 494 862"
"EUR OBS";"";"";"2 114 185";"435 210";"17 390";"5 721";"262";"294";"32";"65";"285";"30";"968";"2 573 474"
"US_CA";"";"";"";"675 562";"";"";"";"";"";"";"";"";"";"675 562"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2011, 2010, 2008, 2007, 2005, 2004, 2003, 2002, 2001, 2000"
" - film_id : 15301"
