"Market";"Distributor";"Release date";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2009-2020";"Total since 2005"
"AT";"Constantin Film (AT)";"25/11/2005";"6 276";"673";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"6 949"
"BE";"Cineart (BE)";"30/11/2005";"53 860";"13 245";"1 637";"915";"";"";"";"";"";"";"";"122";"";"";"";"122";"69 779"
"BG";"Big Bang";"";"";"";"579";"";"";"";"";"";"";"";"";"";"";"";"";"";"579"
"CH";"Filmcoopi Zürich";"09/11/2005";"26 343";"2 818";"34";"23";"";"";"";"";"";"";"";"";"";"";"";"";"29 218"
"CZ";"SPI";"07/12/2006";"";"2 032";"1 760";"265";"";"";"";"";"";"";"";"";"";"";"";"";"4 057"
"DE";"Senator Film Verleih";"24/11/2005";"150 485";"109 545";"2 678";"";"";"";"";"";"1 117";"588";"75";"66";"422";"371";"103";"2 742";"265 450"
"DK";"Miracle Film";"09/12/2005";"2 632";"2 223";"76";"";"";"";"";"";"";"";"";"";"";"";"";"";"4 931"
"ES";"Vertigo Films (ES)";"30/11/2005";"89 007";"7 093";"803";"110";"";"";"";"";"";"";"";"";"";"";"";"";"97 013"
"FI";"Future Film (FI)";"16/12/2005";"1 187";"1 427";"24";"15";"25";"";"";"";"";"";"";"";"";"";"";"25";"2 678"
"FR";"UGC Distribution";"09/11/2005";"1 770 000";"153 717";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 923 717"
"GB";"Sony Pictures (GB)";"16/12/2005";"21 740";"3 983";"";"";"";"";"";"";"670";"96";"156";"148";"";"";"161";"1 231";"26 954"
"GR";"Filmtreint (Filmtrade)";"24/11/2005";"24 618";"";"835";"1 816";"";"";"";"";"";"";"";"";"";"";"";"";"27 269"
"HU";"SPI Hungary";"14/12/2006";"";"1 394";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 394"
"IT";"Sony Pictures (IT)";"20/01/2006";"";"12 815";"72";"";"89";"";"";"";"";"";"";"31";"";"";"";"120";"13 007"
"LU";"Cineart (LU)";"21/10/2005";"4 655";"582";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5 237"
"LV";"Acme (LV)";"20/04/2006";"";"582";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"582"
"NL";"A-Film (NL)";"08/12/2005";"5 620";"2 604";"119";"159";"80";"40";"";"";"223";"";"";"";"";"";"";"343";"8 845"
"NO";"Oro Film";"26/12/2005";"1 937";"6 123";"89";"25";"145";"";"";"";"";"";"";"";"";"";"";"145";"8 319"
"PT";"Atalanta Filmes";"29/12/2005";"2 941";"6 679";"87";"";"";"";"";"42";"41";"";"";"";"";"";"";"83";"9 790"
"RO";"Media Pro Pictures";"23/12/2005";"387";"478";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"865"
"SE";"Atlantic Film (SE)";"15/12/2006";"";"";"290";"";"";"";"";"";"";"";"";"";"";"";"";"";"290"
"SI";"Fivia";"22/12/2005";"748";"1 022";"";"201";"208";"207";"476";"";"326";"";"";"";"";"";"";"1 217";"3 188"
"SK";"SPI SK";"29/03/2007";"";"";"1 026";"4";"";"";"";"";"";"";"";"";"";"";"";"";"1 030"
"TR";"Bir Film";"07/04/2006";"";"14 846";"1 307";"";"";"";"";"";"";"";"";"";"";"";"";"";"16 153"
"EUR EU";"";"";"2 134 156";"320 094";"9 986";"3 485";"402";"247";"476";"42";"2 377";"684";"231";"367";"422";"371";"264";"5 883";"2 473 604"
"EUR OBS";"";"";"2 162 436";"343 881";"11 416";"3 533";"547";"247";"476";"42";"2 377";"684";"231";"367";"422";"371";"264";"6 028";"2 527 294"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2011, 2010, 2009, 2008, 2007, 2006, 2005"
" - film_id : 23733"
