"Market";"Distributor";"Release date";"2006";"2007";"2008";"2009";"2012";"2013";"2014";"2015";"2018";"2019";"2020";"2012-2020";"Total since 2006"
"BE";"Belga Films (BE)";"19/04/2006";"75 258";"";"";"";"";"";"";"";"";"";"";"";"75 258"
"CH";"Pathé Films (CH)";"19/04/2006";"31 694";"29";"";"";"326";"";"";"";"101";"26";"";"453";"32 176"
"ES";"Lauren Films Video Hogar";"20/07/2009";"";"";"4 084";"1 360";"13";"944";"77";"17";"";"";"";"1 051";"6 495"
"FR";"Gaumont Columbia TriStar";"19/04/2006";"2 299 378";"";"";"";"";"";"";"";"";"";"1 841";"1 841";"2 301 219"
"GB";"ICA Projects (GB)";"07/11/2008";"";"";"4 275";"";"";"";"";"";"";"";"";"";"4 275"
"GR";"Odeon (GR)";"31/08/2006";"4 186";"";"";"";"";"";"";"";"";"";"";"";"4 186"
"LU";"Belga Film (LU)";"26/04/2006";"3 817";"";"";"";"";"";"";"";"";"";"";"";"3 817"
"PT";"ZON Lusomundo Audiovisuais";"28/12/2006";"169";"666";"";"";"";"";"";"";"";"";"";"";"835"
"RO";"Glob-Com";"";"";"2 011";"";"";"";"";"";"";"";"";"";"";"2 011"
"EUR EU";"";"";"2 382 808";"2 677";"8 359";"1 360";"13";"944";"77";"17";"";"";"1 841";"2 892";"2 398 096"
"EUR OBS";"";"";"2 414 502";"2 706";"8 359";"1 360";"339";"944";"77";"17";"101";"26";"1 841";"3 345";"2 430 272"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2015, 2014, 2013, 2012, 2009, 2008, 2007, 2006"
" - film_id : 25582"
