"Market";"Distributor";"Release date";"2014";"2015";"Total since 2014"
"BE";"Belga Films (BE)";"12/02/2014";"82 102";"";"82 102"
"CH";"JMH Distributions (CH)";"12/02/2014";"31 762";"";"31 762"
"ES";"Vertigo Films (ES)";"27/07/2015";"";"6 577";"6 577"
"FR";"Wild Bunch Distribution";"12/02/2014";"2 289 422";"";"2 289 422"
"LU";"Belga Film (LU)";"12/02/2014";"2 623";"";"2 623"
"EUR EU";"";"";"2 374 147";"6 577";"2 380 724"
"EUR OBS";"";"";"2 405 909";"6 577";"2 412 486"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2015, 2014"
" - film_id : 48686"
