"Market";"Distributor";"Release date";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2017-2020";"Total since 2013"
"AT";"Filmladen";"06/06/2014";"";"9 013";"703";"";"";"";"";"";"";"9 716"
"BE";"Victory Productions (BE)";"20/11/2013";"53 609";"25 498";"";"";"";"";"";"";"";"79 107"
"CH";"JMH Distributions (CH)";"20/11/2013";"35 706";"18 071";"41";"";"";"";"";"28";"28";"53 846"
"DE";"Concorde Filmverleih";"05/06/2014";"";"35 689";"843";"92";"42";"21";"22";"";"85";"36 709"
"ES";"A Contracorriente Films";"28/03/2014";"";"125 335";"90";"";"";"";"";"";"";"125 425"
"FR";"Gaumont Distribution";"20/11/2013";"1 944 280";"";"";"";"";"";"";"";"";"1 944 280"
"GB";"Cinefile (GB)";"05/12/2014";"";"1 503";"424";"";"";"";"";"";"";"1 927"
"GR";"Odeon (GR)";"30/01/2014";"";"5 528";"";"";"";"";"";"";"";"5 528"
"IS";"Sena";"";"";"641";"";"";"";"";"";"";"";"641"
"IT";"Eagle Pictures";"23/01/2014";"";"110 785";"511";"";"";"";"";"";"";"111 296"
"LU";"Victory Productions (LU)";"20/11/2013";"3 211";"1 933";"";"";"";"";"";"";"";"5 144"
"NL";"Remain in Light (NL)";"24/04/2014";"";"4 158";"";"";"";"";"";"";"";"4 158"
"PT";"NOS Lusomundo Audiovisuais (PT)";"12/06/2014";"";"2 979";"";"";"";"";"";"";"";"2 979"
"RU";"Premium Film (RU)";"19/12/2013";"2 172";"1 836";"";"";"";"";"";"";"";"4 008"
"SI";"Karantanija Cinemas";"20/03/2014";"";"1 484";"";"";"";"";"";"";"";"1 484"
"TR";"M3 Film";"15/08/2014";"";"2 772";"41";"";"";"";"";"";"";"2 813"
"EUR EU";"";"";"2 001 100";"323 905";"2 571";"92";"42";"21";"22";"";"85";"2 327 753"
"EUR OBS";"";"";"2 038 978";"347 225";"2 653";"92";"42";"21";"22";"28";"113";"2 389 061"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013"
" - film_id : 43248"
