"Market";"Distributor";"Release date";"2013";"2014";"2015";"2016";"2020";"Total since 2013"
"BE";"Lumiere Productie (BE)";"16/10/2013";"37 466";"1 963";"";"";"82";"39 511"
"CH";"JMH Distributions (CH)";"16/10/2013";"19 426";"912";"";"";"";"20 338"
"ES";"Vertigo Films (ES)";"09/04/2014";"";"29 783";"36";"";"";"29 819"
"FI";"Cinemanse (FI)";"03/10/2014";"";"1 003";"103";"";"";"1 106"
"FR";"Wild Bunch Distribution";"16/10/2013";"1 997 074";"";"";"";"";"1 997 074"
"HU";"ADS";"03/04/2014";"";"977";"";"51";"";"1 028"
"LU";"Lumiere Publishing (LU)";"16/10/2013";"2 542";"";"";"";"";"2 542"
"ME";"";"";"";"61";"";"";"";"61"
"MK";"Premium Film (MK)";"";"";"53";"";"";"";"53"
"PT";"Outsider Films";"08/05/2014";"";"3 095";"";"";"";"3 095"
"RO";"Cine Europa (RO)";"09/10/2015";"";"";"1 011";"";"";"1 011"
"RU";"AKM";"20/02/2014";"";"1 381";"";"";"";"1 381"
"SE";"Njutafilms";"12/05/2014";"";"2 082";"1 221";"";"";"3 303"
"SI";"Karantanija Cinemas";"19/06/2014";"";"2 109";"";"";"";"2 109"
"EUR EU";"";"";"2 037 082";"41 012";"2 371";"51";"82";"2 080 598"
"EUR OBS";"";"";"2 056 508";"43 419";"2 371";"51";"82";"2 102 431"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2016, 2015, 2014, 2013"
" - film_id : 43247"
