"Market";"Distributor";"Release date";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2006-2020";"Total since 2002"
"AT";"";"";"28 282";"17 045";"66";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45 393"
"BE";"Cineart (BE)";"25/09/2002";"133 514";"34 347";"4 837";"921";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"173 619"
"BG";"Sunny";"13/06/2003";"";"7 918";"8 018";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"15 936"
"CH";"Frenetic Films (CH)";"25/09/2002";"142 543";"38 500";"";"52";"";"8";"125";"";"";"54";"260";"";"78";"";"240";"";"";"67";"";"832";"181 927"
"CZ";"Falcon";"06/02/2003";"";"74 316";"13 971";"6 138";"2 141";"900";"1 423";"372";"175";"";"";"";"";"";"";"";"";"";"";"5 011";"99 436"
"DE";"Tobis Film (DE)";"24/10/2002";"591 132";"315 268";"15 096";"";"";"";"";"";"";"";"";"";"464";"280";"323";"507";"36";"98";"52";"1 760";"923 256"
"DK";"Camera Film";"04/07/2003";"";"35 737";"983";"207";"";"120";"";"";"";"";"";"";"";"";"";"";"";"";"";"120";"37 047"
"EE";"Sonatiin";"01/08/2003";"";"4 229";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4 229"
"ES";"DeAPlaneta";"22/10/2002";"480 228";"1 150 629";"199";"311";"114";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"114";"1 631 481"
"FI";"Cinema Mondo";"11/04/2003";"";"69 412";"1 970";"67";"";"66";"";"100";"";"";"";"";"";"";"";"";"";"";"";"166";"71 615"
"FR";"";"";"1 480 007";"279 496";"8 212";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 767 715"
"GB";"Pathé Distribution (GB)";"24/01/2003";"";"601 212";"";"";"";"";"";"";"";"";"";"";"";"27";"";"73";"";"";"";"100";"601 312"
"GR";"Prooptiki (GR)";"18/10/2002";"39 611";"47 234";"861";"141";"48";"138";"";"";"";"";"";"";"";"";"";"";"";"";"";"186";"88 033"
"HU";"Budapestfilm";"20/03/2003";"";"79 827";"11 094";"1 707";"1 746";"35";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 781";"94 409"
"IE";"";"";"";"27 613";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"27 613"
"IS";"";"";"";"8 217";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"8 217"
"IT";"01 Distribution";"25/10/2002";"818 109";"148 992";"4 376";"1 010";"";"";"";"";"";"";"";"480";"";"";"";"";"";"";"";"480";"972 967"
"LT";"";"";"";"12 621";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"12 621"
"LU";"";"";"13 163";"319";"224";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13 706"
"NL";"A-Film (NL)";"28/11/2002";"79 805";"113 510";"1 861";"";"66";"339";"1 122";"150";"16";"";"";"";"";"";"";"";"";"";"";"1 693";"196 869"
"NO";"Oro Film";"22/08/2003";"";"73 319";"5 468";"167";"1 503";"692";"";"34";"213";"";"";"";"";"141";"";"";"";"";"";"2 583";"81 537"
"PL";"";"";"1 153 740";"98 550";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 252 290"
"PT";"LNK Filmes";"13/12/2002";"";"";"";"";"";"79";"";"";"";"";"";"";"";"";"";"";"";"";"";"79";"79"
"RO";"IF-Independenta Film";"09/05/2003";"";"38 895";"1 294";"";"";"46";"";"";"";"";"";"";"";"";"";"";"";"";"";"46";"40 235"
"SE";"Triangelfilm";"15/08/2003";"";"117 848";"9 076";"172";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"127 096"
"SI";"Fivia";"13/03/2003";"";"25 626";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";"";"";"";"2";"25 628"
"SK";"Itafilm";"19/06/2003";"";"8 957";"271";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"9 228"
"TR";"Ozen Film";"28/02/2003";"";"257 161";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"257 161"
"EUR EU";"";"";"4 817 591";"3 309 601";"82 409";"10 674";"4 115";"1 723";"2 545";"624";"191";"";"";"480";"464";"307";"323";"580";"36";"98";"52";"11 538";"8 231 813"
"EUR OBS";"";"";"4 960 134";"3 686 798";"87 877";"10 893";"5 618";"2 423";"2 670";"658";"404";"54";"260";"480";"542";"448";"563";"580";"36";"165";"52";"14 953";"8 760 655"
"US_CA";"";"";"";"5 231 024";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5 231 024"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002"
" - film_id : 18808"
