"Market";"Distributor";"Release date";"2013";"2014";"2017";"Total since 2013"
"BE";"Umedia Distribution (BE)";"27/02/2013";"";"";"61";"61"
"CH";"Frenetic Films (CH)";"27/02/2013";"39 791";"";"87";"39 878"
"FI";"Snapper Films Distribution";"01/11/2013";"6 995";"";"";"6 995"
"FR";"StudioCanal (FR)";"27/02/2013";"2 006 408";"";"";"2 006 408"
"GB";"StudioCanal (GB)";"07/06/2013";"188";"22";"125";"335"
"EUR EU";"";"";"2 013 591";"22";"186";"2 013 799"
"EUR OBS";"";"";"2 053 382";"22";"273";"2 053 677"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2017, 2014, 2013"
" - film_id : 43246"
