"Market";"Distributor";"Release date";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2010-2020";"Total since 2006"
"BE";"Cineart (BE)";"25/10/2006";"67 258";"22 154";"7 813";"984";"";"";"";"";"";"";"";"37";"";"";"";"37";"98 246"
"CH";"Frenetic Films (CH)";"27/09/2006";"12 456";"983";"435";"29";"187";"";"";"477";"";"";"";"";"";"147";"79";"890";"14 793"
"DE";"Universum Film";"07/04/2011";"";"";"";"";"";"";"";"";"30";"82";"55";"30";"9";"";"";"206";"206"
"ES";"Dionet Alta Definicion Digital";"21/03/2007";"";"22 366";"2 032";"56";"85";"";"";"98";"253";"305";"";"";"";"";"";"741";"25 195"
"FR";"Diaphana Distribution";"25/10/2006";"1 577 411";"";"";"";"";"";"";"";"";"";"";"";"";"";"40 287";"40 287";"1 617 698"
"GB";"Thunderbird (GB)";"08/02/2008";"";"";"6 831";"";"";"";"";"";"48";"";"40";"13";"";"";"";"101";"6 932"
"GR";"PCV Peggy Carajopoulou";"23/09/2007";"";"23 117";"4 090";"";"";"";"";"";"";"";"";"";"";"";"";"";"27 207"
"IE";"Soda Pictures (IE)";"08/02/2008";"";"";"1 278";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 278"
"IT";"Lucky Red";"10/11/2006";"84 467";"53 308";"16 759";"259";"925";"";"24";"118";"263";"198";"";"334";"54";"100";"";"2 016";"156 809"
"LI";"Frenetic Films (LI)";"25/10/2006";"";"";"75";"";"";"";"";"";"";"";"";"";"";"";"";"";"75"
"LU";"Cineart (LU)";"27/10/2006";"2 696";"";"225";"";"";"";"";"";"";"";"";"";"";"";"";"";"2 921"
"NL";"Twin Film";"04/10/2007";"";"4 613";"187";"4 774";"316";"56";"";"";"";"";"";"";"";"";"";"372";"9 946"
"RO";"Moebius";"";"";"";"864";"";"";"";"";"";"";"";"";"";"";"";"";"";"864"
"SE";"Scanbox Entertainment (SE)";"04/12/2007";"";"84";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"84"
"EUR EU";"";"";"1 731 832";"125 642";"40 079";"6 073";"1 326";"56";"24";"216";"594";"585";"95";"414";"63";"100";"40 287";"43 760";"1 947 386"
"EUR OBS";"";"";"1 744 288";"126 625";"40 589";"6 102";"1 513";"56";"24";"693";"594";"585";"95";"414";"63";"247";"40 366";"44 650";"1 962 254"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006"
" - film_id : 25593"
