"Market";"Distributor";"Release date";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2007-2019";"Total since 2003"
"AT";"Polyfilm";"05/09/2003";"39 654";"1 164";"55";"14";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40 887"
"BE";"ABC Distribution";"21/05/2003";"72 816";"1 183";"7";"159";"";"";"";"";"";"";"";"";"";"";"11";"";"";"11";"74 176"
"BG";"Art Fest";"19/11/2004";"";"4 485";"689";"";"";"";"";"450";"";"";"";"";"";"";"";"";"";"450";"5 624"
"CH";"Filmcoopi Zürich";"21/05/2003";"63 624";"";"";"";"";"110";"21";"";"74";"64";"";"68";"";"12";"73";"";"";"422";"64 046"
"CZ";"Intersonic (CZ)";"25/12/2003";"4 694";"12 904";"585";"";"24";"";"";"";"";"";"";"";"";"";"";"";"";"24";"18 207"
"DE";"Constantin Film (DE)";"14/08/2003";"511 794";"7 820";"";"";"";"";"";"";"";"";"";"24";"131";"";"40";"97";"";"292";"519 906"
"DK";"Camera Film";"26/12/2003";"370";"27 975";"146";"102";"28";"";"";"";"";"";"";"";"";"";"";"";"";"28";"28 621"
"EE";"BDG Film";"02/04/2004";"";"2 674";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2 674"
"ES";"Vertigo Films (ES)";"24/10/2003";"38 573";"2 434";"";"";"";"";"";"";"";"";"912";"";"";"";"";"";"";"912";"41 919"
"FI";"Future Film (FI)";"29/08/2003";"7 009";"88";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7 097"
"FR";"";"";"681 611";"147";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"681 758"
"GB";"";"";"146 476";"5 008";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"151 484"
"GR";"Rosebud";"07/11/2003";"10 985";"2 792";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13 777"
"HU";"";"";"7 675";"9 437";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"17 112"
"IE";"";"";"12 884";"348";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13 232"
"IT";"Bim Distribuzione";"31/10/2003";"40 799";"8 502";"";"";"";"";"11";"";"";"";"";"";"";"";"";"";"";"11";"49 312"
"LT";"";"";"";"9 583";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"9 583"
"LV";"Kinogalerija";"";"9 473";"";"";"";"";"";"";"";"";"";"";"187";"";"";"";"";"";"187";"9 660"
"NL";"Lumiere Publishing (NL)";"18/09/2003";"65 259";"4 677";"231";"200";"";"";"";"";"";"";"";"";"";"";"";"";"17";"17";"70 384"
"NO";"";"";"13 987";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13 987"
"PL";"Gutek Film";"05/09/2003";"97 325";"1 770";"413";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"99 508"
"PT";"Atalanta Filmes";"07/11/2003";"11 433";"3 755";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"15 188"
"SE";"";"";"4 845";"13 166";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"18 011"
"SI";"Fivia";"31/12/2003";"869";"5 261";"";"15";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"6 145"
"SK";"Intersonic SK";"11/03/2004";"";"6 400";"";"36";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"6 436"
"TR";"Chantier Films";"29/08/2003";"22 951";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"22 951"
"EUR EU";"";"";"1 764 544";"131 573";"2 126";"526";"52";"";"11";"450";"";"";"912";"211";"131";"";"51";"97";"17";"1 932";"1 900 701"
"EUR OBS";"";"";"1 865 106";"131 573";"2 126";"526";"52";"110";"32";"450";"74";"64";"912";"279";"131";"12";"124";"97";"17";"2 354";"2 001 685"
"US_CA";"";"";"1 678 547";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 678 547"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003"
" - film_id : 20412"
