"Market";"Distributor";"Release date";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2013-2020";"Total since 2009"
"AT";"Filmladen";"17/09/2010";"";"20 703";"4 866";"600";"";"";"";"";"";"";"";"";"";"26 169"
"BE";"Cineart (BE)";"30/09/2009";"198 326";"15 924";"5 118";"1 639";"";"";"";"266";"311";"458";"521";"";"1 556";"222 563"
"CH";"Frenetic Films (CH)";"30/09/2009";"130 402";"32 226";"385";"147";"321";"90";"";"17";"446";"31";"42";"";"947";"164 107"
"CY";"Rosebud (CY)";"26/03/2010";"";"1 181";"";"";"";"";"";"";"";"";"";"";"";"1 181"
"CZ";"35 mm";"10/12/2009";"48 728";"70 054";"5 275";"1 119";"1 143";"395";"102";"140";"347";"389";"";"";"2 516";"127 692"
"DE";"Wild Bunch (DE)";"26/08/2010";"";"286 071";"68 617";"5 252";"6 841";"4 333";"1 441";"2 032";"448";"1 303";"404";"168";"16 970";"376 910"
"EE";"A-One Films Baltic (EE)";"06/05/2011";"";"";"2 115";"578";"428";"444";"167";"";"";"";"";"";"1 039";"3 732"
"ES";"Vertigo Films (ES)";"07/05/2010";"";"44 056";"709";"1 186";"";"";"558";"";"";"";"";"";"558";"46 509"
"FR";"Wild Bunch Distribution";"30/09/2009";"5 462 264";"249 728";"";"";"";"";"";"";"";"";"";"";"";"5 711 992"
"GB";"Thunderbird (GB)";"13/07/2012";"";"";"";"3 323";"";"66";"117";"4";"41";"";"";"";"228";"3 551"
"GR";"Rosebud";"24/12/2009";"";"94 466";"707";"674";"";"";"";"";"";"";"";"";"";"95 847"
"HU";"ADS";"12/03/2015";"";"";"";"";"";"";"6 411";"399";"";"44";"";"25";"6 879";"6 879"
"IE";"Soda Pictures (IE)";"";"";"";"";"38";"";"";"";"";"";"";"";"";"";"38"
"IT";"Bim Distribuzione";"02/04/2010";"";"162 084";"3 217";"199";"";"85";"193";"";"";"102";"";"";"380";"165 880"
"LI";"Frenetic Films (LI)";"30/09/2009";"";"285";"";"";"";"";"";"";"";"";"";"";"";"285"
"LT";"A-One Films (LT)";"29/04/2011";"";"";"763";"163";"57";"838";"";"";"";"";"";"";"895";"1 821"
"LU";"Cineart (LU)";"30/09/2009";"";"71";"7";"";"";"";"";"";"";"";"";"";"";"78"
"NL";"Cinéart Nederland";"31/07/2014";"";"";"";"";"";"5 577";"";"";"";"";"";"";"5 577";"5 577"
"PL";"Forum Film/SPI";"04/12/2009";"365 657";"123 972";"1 230";"";"";"";"";"";"";"";"";"";"";"490 859"
"PT";"ZON Lusomundo Cinemas";"08/12/2011";"";"";"785";"167";"";"";"";"";"";"";"";"";"";"952"
"RU";"Ruscico";"09/09/2010";"";"163";"";"";"";"";"";"";"";"";"";"";"";"163"
"SI";"Blitz Film & Video Distribution (SI)";"06/01/2011";"";"";"3 113";"365";"277";"";"";"50";"";"";"";"";"327";"3 805"
"SK";"Continental Film (SK)";"04/03/2010";"";"4 366";"69";"";"";"";"";"";"";"";"26";"";"26";"4 461"
"TR";"Tiglon";"15/01/2010";"";"65 525";"";"712";"";"144";"";"";"";"";"";"";"144";"66 381"
"EUR EU";"";"";"6 074 975";"1 072 676";"96 591";"15 303";"8 746";"11 738";"8 989";"2 891";"1 147";"2 296";"951";"193";"36 951";"7 296 496"
"EUR OBS";"";"";"6 205 377";"1 170 875";"96 976";"16 162";"9 067";"11 972";"8 989";"2 908";"1 593";"2 327";"993";"193";"38 042";"7 527 432"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009"
" - film_id : 31717"
