"Market";"Distributor";"Release date";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2014-2019";"Total since 2010"
"AT";"Tobis Film (AT)";"08/07/2011";"";"15 260";"214";"";"";"";"";"";"";"";"";"15 474"
"BE";"Cineart (BE)";"20/10/2010";"149 773";"6 147";"287";"";"";"";"";"";"";"";"";"156 207"
"CH";"Agora Films";"20/10/2010";"61 120";"20 650";"68";"";"";"54";"";"";"";"";"54";"81 892"
"DE";"Tobis Film (DE)";"07/07/2011";"";"112 189";"3 633";"158";"";"82";"50";"131";"112";"";"375";"116 355"
"DK";"";"";"";"";"9 921";"";"";"";"";"";"";"";"";"9 921"
"ES";"A Contracorriente Films";"27/05/2011";"";"277 635";"143";"";"";"61";"75";"119";"31";"143";"429";"278 207"
"FI";"Atlantic Film (FI)";"28/10/2011";"";"2 543";"139";"";"";"";"";"";"";"";"";"2 682"
"FR";"EuropaCorp (FR)";"20/10/2010";"5 249 345";"216 800";"";"";"";"";"";"";"";"";"";"5 466 145"
"GB";"Lionsgate (GB)";"15/04/2011";"";"66 463";"";"";"37";"22";"";"";"";"";"59";"66 522"
"GR";"Word of Mouth (GR)";"10/03/2011";"";"11 441";"244";"";"";"";"";"";"";"";"";"11 685"
"HU";"Cirko Film";"03/11/2011";"";"2 233";"";"";"";"";"";"";"767";"9";"776";"3 009"
"IS";"Myndform";"21/01/2011";"";"756";"";"";"";"";"";"";"";"";"";"756"
"IT";"Lucky Red";"06/04/2012";"";"";"170 000";"2 239";"";"";"";"";"";"";"";"172 239"
"LU";"Cineart (LU)";"22/10/2010";"5 805";"87";"";"";"";"";"";"";"";"";"";"5 892"
"NL";"Cinéart Nederland";"13/01/2011";"477";"21 182";"43";"53";"90";"";"";"";"";"277";"367";"22 122"
"NO";"Europafilm";"27/07/2012";"";"";"4 781";"";"";"";"";"";"";"";"";"4 781"
"PT";"ZON Lusomundo Cinemas";"30/06/2011";"";"23 954";"";"";"";"";"";"";"";"";"";"23 954"
"SE";"Atlantic Film (SE)";"20/01/2012";"";"71";"5 443";"";"56";"";"";"";"";"";"56";"5 570"
"SK";"Magic Box Slovakia";"04/04/2012";"";"";"";"";"";"";"15";"";"";"";"15";"15"
"TR";"M3 Film";"13/05/2011";"";"10 340";"";"";"";"";"";"";"";"";"";"10 340"
"EUR EU";"";"";"5 405 400";"756 005";"190 067";"2 450";"183";"165";"140";"250";"910";"429";"2 077";"6 355 999"
"EUR OBS";"";"";"5 466 520";"787 751";"194 916";"2 450";"183";"219";"140";"250";"910";"429";"2 131";"6 453 768"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010"
" - film_id : 35267"
