"Market";"Distributor";"Release date";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2016-2018";"Total since 2012"
"AT";"Constantin Film (AT)";"18/10/2012";"90 147";"935";"";"";"";"";"";"";"91 082"
"BE";"Cineart (BE)";"17/10/2012";"285 961";"";"374";"100";"";"";"";"";"286 435"
"BG";"Tandem";"";"16 880";"";"";"";"";"";"";"";"16 880"
"CH";"Frenetic Films (CH)";"17/10/2012";"108 868";"3 405";"";"";"";"";"";"";"112 273"
"CY";"Rosebud (CY)";"19/10/2012";"6 030";"";"";"";"";"";"";"";"6 030"
"CZ";"35 mm";"18/10/2012";"140 781";"8 434";"56";"100";"";"";"";"";"149 371"
"DE";"Concorde Filmverleih";"18/10/2012";"331 754";"7 802";"234";"8";"";"43";"";"43";"339 841"
"EE";"Intercinema (EE)";"26/10/2012";"2 937";"";"";"";"";"";"";"";"2 937"
"ES";"Tripictures";"29/11/2012";"162 518";"14 617";"";"150";"";"";"";"";"177 285"
"FI";"Future Film (FI)";"09/11/2012";"14 566";"";"";"";"";"";"";"";"14 566"
"FR";"Wild Bunch Distribution";"17/10/2012";"3 754 598";"";"";"";"";"";"";"";"3 754 598"
"GR";"Odeon (GR)";"18/10/2012";"136 489";"4 016";"";"";"";"";"";"";"140 505"
"HR";"Pa-Dora";"25/10/2012";"26 819";"";"";"";"";"";"";"";"26 819"
"HU";"Big Bang Media";"18/10/2012";"76 912";"";"70";"68";"";"";"";"";"77 050"
"IT";"Lucky Red";"10/01/2013";"";"212 544";"250";"";"";"";"";"";"212 794"
"LU";"Cineart (LU)";"17/10/2012";"8 711";"";"";"";"";"";"";"";"8 711"
"LV";"Inter Cinema";"";"6 259";"";"";"";"";"";"";"";"6 259"
"NL";"Cinéart Nederland";"18/10/2012";"73 770";"261";"";"";"";"";"85";"85";"74 116"
"NO";"Norsk Filmdistribusjon";"26/10/2012";"46 714";"1 007";"";"5";"";"";"";"";"47 726"
"PL";"Kino Swiat/SPI";"02/11/2012";"492 715";"9 705";"";"";"";"";"";"";"502 420"
"PT";"NOS Lusomundo Audiovisuais (PT)";"18/10/2012";"121 731";"212";"";"71";"225";"";"";"225";"122 239"
"RO";"Ro-Image 2000";"19/10/2012";"30 658";"292";"";"";"";"";"";"";"30 950"
"RU";"Central Partnership (RU)";"25/10/2012";"879 789";"";"";"";"";"";"";"";"879 789"
"SE";"Noble Entertainment";"09/11/2012";"23 772";"1 289";"";"7";"";"";"";"";"25 068"
"SI";"Fivia";"25/10/2012";"14 953";"1 544";"45";"";"";"";"";"";"16 542"
"SK";"Continental Film (SK)";"18/10/2012";"45 320";"685";"";"";"";"";"";"";"46 005"
"TR";"Medyavizyon";"26/10/2012";"129 075";"";"";"";"";"";"";"";"129 075"
"EUR EU";"";"";"5 864 281";"262 336";"1 029";"504";"225";"43";"85";"353";"6 128 503"
"EUR OBS";"";"";"7 028 727";"266 748";"1 029";"509";"225";"43";"85";"353";"7 297 366"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2018, 2017, 2016, 2015, 2014, 2013, 2012"
" - film_id : 39108"
