"Market";"Distributor";"Release date";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2009-2018";"Total since 2004"
"AT";"Filmladen";"26/10/2005";"63 321";"14 560";"";"";"";"";"";"";"";"";"";"";"";"";"";"77 881"
"BE";"Santa Fe/Paradiso";"21/12/2005";"28 087";"17 113";"";"216";"";"";"";"";"";"";"";"";"";"";"";"45 416"
"BG";"Art Fest";"03/02/2006";"";"";"1 152";"";"";"";"";"";"";"";"";"";"";"";"";"1 152"
"CH";"Frenetic Films (CH)";"26/01/2005";"163 649";"28 561";"626";"";"39";"";"39";"128";"31";"249";"";"20";"";"";"506";"193 342"
"CZ";"Intersonic (CZ)";"27/10/2005";"16 290";"17 240";"1 263";"334";"160";"258";"172";"";"";"5";"";"";"";"";"595";"35 722"
"DE";"StudioCanal (DE)";"13/10/2005";"1 216 998";"250 394";"";"";"";"";"";"";"";"142";"180";"430";"";"160";"912";"1 468 304"
"DK";"Camera Film";"10/02/2006";"";"31 286";"852";"44";"";"30";"";"";"";"";"";"";"";"";"30";"32 212"
"EE";"Tallinnfilm (EE)";"23/12/2005";"2 420";"";"147";"33";"";"";"";"";"";"";"";"";"";"";"";"2 600"
"ES";"DeAPlaneta";"05/08/2005";"64 680";"1 228";"";"11";"";"";"135";"";"";"";"";"";"";"";"135";"66 054"
"FI";"Cinema Mondo";"02/12/2005";"35 464";"46 966";"296";"";"";"";"23";"";"";"";"";"";"";"";"23";"82 749"
"FR";"BVI (FR)";"26/01/2005";"1 830 000";"42 100";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 872 100"
"GB";"Warner Bros. (GB)";"09/12/2005";"220 435";"421 555";"";"";"";"";"";"";"";"6";"50";"";"27";"";"83";"642 073"
"GR";"Playtime Releasing EPE";"22/12/2005";"25 510";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"25 510"
"HU";"Intersonic (HU)";"03/11/2005";"18 129";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"18 129"
"IS";"";"";"";"604";"";"";"";"";"";"";"";"";"";"";"";"";"";"604"
"IT";"Lucky Red";"18/11/2005";"626 814";"73 186";"714";"21";"452";"12";"";"";"";"";"";"";"";"";"464";"701 199"
"LI";"Frenetic Films (LI)";"";"";"";"80";"";"";"";"";"";"";"";"";"";"";"";"";"80"
"LT";"Acme (LT)";"21/10/2005";"4 254";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4 254"
"LU";"Paradiso Entertainment (LU)";"26/01/2005";"3 173";"149";"";"";"";"";"";"";"";"";"";"";"";"";"";"3 322"
"LV";"Acme (LV)";"21/10/2005";"11 834";"871";"";"";"";"";"";"";"";"";"";"";"";"";"";"12 705"
"NL";"Paradiso Entertainment (NL)";"22/12/2005";"971";"136 588";"1 865";"1 407";"463";"20";"";"";"";"";"";"";"";"";"483";"141 314"
"NO";"Oro Film";"13/01/2006";"";"139 559";"260";"2 633";"1 050";"200";"";"";"";"";"";"";"";"";"1 250";"143 702"
"PL";"Forum Film (PL)";"07/10/2005";"64 039";"5 540";"";"";"";"";"";"";"";"";"";"";"";"";"";"69 579"
"PT";"Prisvideo Edicoes";"03/11/2005";"14 326";"";"661";"";"";"";"";"";"";"";"";"";"";"";"";"14 987"
"RO";"IF-Independenta Film";"30/12/2005";"2 033";"5 406";"251";"";"";"";"";"";"";"193";"";"";"";"";"193";"7 883"
"SE";"";"17/02/2006";"";"55 533";"1 146";"";"";"";"";"";"";"";"";"";"";"";"";"56 679"
"SI";"Cinemania Group";"10/03/2005";"17 903";"1 974";"47";"";"110";"106";"73";"104";"";"";"";"";"";"";"393";"20 317"
"SK";"Intersonic SK";"23/06/2005";"";"2 573";"16";"425";"410";"";"";"";"";"";"";"";"";"";"410";"3 424"
"TR";"Chantier Films";"01/04/2005";"11 118";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"11 118"
"EUR EU";"";"";"4 266 681";"1 124 262";"8 410";"2 491";"1 595";"426";"403";"104";"";"346";"230";"430";"27";"160";"3 721";"5 405 565"
"EUR OBS";"";"";"4 441 448";"1 292 986";"9 376";"5 124";"2 684";"626";"442";"232";"31";"595";"230";"450";"27";"160";"5 477";"5 754 411"
"US_CA";"";"";"12 080 690";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"12 080 690"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005"
" - film_id : 23300"
