"Market";"Distributor";"Release date";"2017";"2018";"2019";"2020";"Total since 2017"
"AT";"Constantin (AT)";"02/02/2018";"";"16 552";"";"";"16 552"
"BA";"Oskar Film";"08/02/2018";"";"332";"";"";"332"
"BE";"Belga Films (BE)";"04/10/2017";"138 125";"906";"118";"";"139 149"
"CH";"Elite Film";"04/10/2017";"58 321";"95 418";"264";"61";"154 064"
"CZ";"Aerofilms";"16/11/2017";"28 626";"6 924";"816";"";"36 366"
"DE";"LEONINE Distribution GmbH";"01/02/2018";"";"372 292";"7 335";"748";"380 375"
"DK";"Another World Entertainment APS";"24/05/2018";"";"6 910";"";"";"6 910"
"EE";"Tespi (EE)";"27/10/2017";"1 987";"";"";"";"1 987"
"ES";"A Contracorriente Films";"03/11/2017";"334 404";"382 009";"500";"";"716 913"
"FI";"Atlantic Film (FI)";"12/01/2018";"";"7 984";"142";"";"8 126"
"FR";"Gaumont Distribution";"04/10/2017";"2 985 000";"";"";"1 120";"2 986 120"
"GB";"Cinefile (GB)";"31/08/2018";"";"7 527";"";"61";"7 588"
"GR";"Odeon (GR)";"05/07/2018";"";"61 883";"216";"";"62 099"
"HU";"Mozinet";"14/12/2017";"19 815";"14 721";"190";"60";"34 786"
"IS";"Sena";"26/01/2018";"";"1 942";"";"";"1 942"
"IT";"Videa-CDE";"01/02/2018";"";"196 215";"1 118";"";"197 333"
"LT";"Garsų pasaulio įrašai (LT)";"13/10/2017";"3 908";"";"665";"";"4 573"
"LU";"Belga Film (LU)";"04/10/2017";"5 344";"";"";"";"5 344"
"LV";"Garsu Pasaulio irasai (LV)";"08/12/2017";"874";"";"";"";"874"
"ME";"";"";"";"213";"";"";"213"
"NL";"Independent Films (NL)";"16/11/2017";"72 793";"18 902";"143";"";"91 838"
"NO";"Another World Entertainment";"02/02/2018";"";"8 303";"";"";"8 303"
"PL";"Kino Swiat";"18/05/2018";"";"47 416";"363";"";"47 779"
"PT";"NOS Lusomundo Audiovisuais (PT)";"23/11/2017";"15 362";"884";"";"";"16 246"
"RU";"Capella Film/Pioneer Film Company";"01/01/2018";"448";"142 917";"";"";"143 365"
"SE";"Njutafilms";"09/03/2018";"";"31 794";"";"";"31 794"
"SK";"ASFK";"23/11/2017";"5 527";"4 446";"716";"211";"10 900"
"EUR EU";"";"";"3 611 765";"1 177 365";"12 322";"2 200";"4 803 652"
"EUR OBS";"";"";"3 670 534";"1 426 490";"12 586";"2 261";"5 111 871"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017"
" - film_id : 73236"
