"Market";"Distributor";"Release date";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2013";"2014";"2015";"2016";"2017";"2018";"2020";"2005-2020";"Total since 2001"
"AT";"Constantin Film (AT)";"04/11/2005";"";"";"21 604";"6 861";"7 682";"";"";"";"";"";"";"";"";"";"";"";"7 682";"36 147"
"BE";"Santa Fe/Paradiso";"21/08/2002";"";"142 197";"13 147";"8 357";"878";"362";"";"";"";"";"";"";"";"";"";"";"1 240";"164 941"
"CH";"Frenetic Films (CH)";"03/07/2002";"";"151 099";"13 235";"";"17";"";"80";"";"";"";"";"";"";"15";"";"";"112";"164 446"
"CZ";"SPI";"17/10/2002";"";"16 861";"7 105";"1 719";"936";"769";"";"";"";"";"";"";"";"";"";"";"1 705";"27 390"
"DE";"Tobis Film (DE)";"13/11/2003";"";"";"169 868";"180 434";"9 185";"3 425";"";"";"";"";"497";"114";"95";"56";"87";"";"13 459";"363 761"
"EE";"BDG Film";"03/10/2003";"";"";"3 042";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3 042"
"ES";"Sociedad General de Derechos Audiovisuales (ES)";"19/11/2002";"";"217 976";"85 919";"45";"282";"";"";"34";"";"";"";"";"";"";"379";"";"695";"304 635"
"FR";"Mars Films (FR)";"19/06/2002";"81";"2 916 126";"50 145";"2 250";"";"191";"";"";"";"";"";"";"";"";"";"461";"652";"2 969 254"
"GB";"Cinefile (GB)";"09/05/2003";"";"";"";"";"";"";"";"";"";"";"68";"";"53";"";"";"";"121";"121"
"GR";"Playtime Releasing EPE";"09/05/2003";"";"";"9 451";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"9 670"
"HU";"Best Hollywood";"15/05/2003";"";"";"38 468";"1 809";"1 911";"1 547";"";"";"";"";"";"";"";"";"";"";"3 458";"43 735"
"IE";"";"";"";"";"3 984";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3 984"
"IS";"";"";"";"";"";"777";"";"";"";"";"";"";"";"";"";"";"";"";"";"777"
"IT";"";"";"";"";"511 767";"441";"9";"";"";"";"";"";"";"";"";"";"";"";"9";"512 217"
"LT";"Acme (LT)";"18/04/2003";"";"";"";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"2"
"LU";"";"";"";"15 378";"51";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"15 429"
"LV";"Acme (LV)";"";"";"";"";"78";"";"";"";"";"";"";"";"";"";"";"";"";"";"78"
"NL";"Paradiso Entertainment (NL)";"05/09/2002";"";"28 915";"3 042";"111";"11";"";"101";"";"224";"51";"";"";"";"";"";"";"387";"32 455"
"NO";"20th Century Fox (NO)";"";"";"";"";"";"";"";"";"";"";"";"82";"";"";"";"";"";"82";"82"
"PL";"SPI Poland";"09/05/2003";"";"";"111 525";"1 321";"636";"";"";"";"";"";"";"";"";"";"";"";"636";"113 482"
"PT";"";"";"";"";"23 716";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"23 716"
"RO";"IF-Independenta Film";"28/03/2003";"";"332";"3 983";"120";"";"";"";"";"";"";"";"";"";"";"";"";"";"4 435"
"SE";"20th Century Fox (AT)";"17/10/2003";"";"";"4 017";"236";"65";"";"";"";"";"";"";"";"";"";"";"";"65";"4 318"
"SK";"SPI SK";"12/12/2002";"";"6 881";"15 424";"1 376";"";"";"";"";"";"";"";"";"";"";"";"";"";"23 681"
"TR";"Ozen Film";"13/06/2003";"";"";"13 552";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13 552"
"EUR EU";"";"";"81";"3 344 666";"1 076 258";"205 379";"21 595";"6 294";"101";"34";"224";"51";"565";"114";"148";"56";"466";"461";"30 109";"4 656 493"
"EUR OBS";"";"";"81";"3 495 765";"1 103 045";"206 156";"21 612";"6 294";"181";"34";"224";"51";"647";"114";"148";"71";"466";"461";"30 303";"4 835 350"
"US_CA";"";"";"";"";"646 401";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"646 401"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2018, 2017, 2016, 2015, 2014, 2013, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002, 2001"
" - film_id : 18830"
