"Market";"Distributor";"Release date";"2010";"Total since 2010"
"BE";"Alternative Films (BE)";"21/04/2010";"115 868";"115 868"
"CH";"Pathé Films (CH)";"21/04/2010";"39 504";"39 504"
"FR";"Pathé Distribution (FR)";"21/04/2010";"3 978 114";"3 978 114"
"LU";"Alternative Film (LU)";"21/04/2010";"2 980";"2 980"
"EUR EU";"";"";"4 096 962";"4 096 962"
"EUR OBS";"";"";"4 136 466";"4 136 466"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2010"
" - film_id : 35270"
