"Film";"Producing country";"Production year";"Directors";"Admissions EUR EU (since 1996)"
"Intouchables (FR)
Untouchable (EN)
The Intouchables (EN)
Недосегаемите (BG)
Nedotknutelní (CS)
De urørlige (DA)
Ziemlich beste Freunde (DE)
Athiktoi (EL)
Άθικτοι (EL)
Intocable (ES)
Amigos para Siempre (ES)
Intocable (ES)
Amigos intocables (ES)
Amigos (ES)
Amigos (ES)
Amigos para siempre (ES)
Intouchables (ET)
1 + 1 (ET)
Koskemattomat (FI)
Nedodirljivi (HR)
Életrevalók (HU)
Quasi amici (IT)
Quasi amici - Intouchables (IT)
Saikyô no futari (JA)
Neliečiamieji (LT)
Neaizskaramie (LV)
De urørlige (NO)
Nietykalni (PL)
Amigos Improváveis (PT)
Intocáveis (PT)
Invincibilii (RO)
1+1 (RU)
Nedotknuteľní (SK)
Prijatelja (SL)
Nedodirljivi (SR)
En oväntad vänskap (SV)
Can Dostum (TR)
1+1 (UK)
Недоторканнi (UK)";"FR";"2011";"Olivier Nakache
Eric Toledano";"40 136 593"
"Bienvenue chez les Ch'tis (FR)
Welcome to the Sticks (EN)
Velkommen Til Ch'tis (DA)
Velkommen til Ch'tis (DA)
Willkommen bei den Sch'tis (DE)
Einai treloi aftoi oi Voreioi (EL)
Είναι τρελοί αυτοί οι Βόρειοι (EL)
Bienvenidos Al Norte (ES)
Bienvenidos al país de la locura (ES)
Bienvenido al país de la locura (ES)
Bienvenidos al Norte (ES)
Dobrodošli U Ch Tis (HR)
Isten hozott az Isten háta mögött (HU)
Giu' Al Nord (IT)
Giù al nord (IT)
Welkom in de provincie (NL)
Velkommen til Shti'ene (NO)
Jeszcze dalej niż północ (PL)
Jeszcze dalej niz Pólnoc (PL)
Bem-vindo ao norte (PT)
A Riviera Não É Aqui (PT)
Bem-vindo ao Norte (PT)
Бобро поржаловать! (RU)
I en annan del av Frankrike (SV)
Лашкаво прошимо (UK)
Bienvenue chez les Ch'tis (XX)
Bienvenue Chez Les Ch'tis (XX)
Bruhim ha'ba'im la'tzafon (XX)
Welcome to the Land of Shtis (XX)
Welcome to the Sticks (XX)";"FR";"2008";"Dany Boon";"25 529 501"
"Astérix & Obélix : Mission Cléopâtre (FR)
Asterix & Obelix: Mission Cleopatra (EN)
Asterix vs. Obelix: Mission Cleopatra (EN)
Asterix and Obelix Meet Cleopatra (EN)
Астерикс и Обеликс: Мисия Клеопатра (BG)
Asterix & Obelix: Mise Kleopatra (CS)
Asterix a Obelix: Mise Kleopatra (CS)
Asterix & Obelix - Mission Kleopatra (DA)
Asterix & Obelix: Mission Kleopatra (DA)
Asterix & Obelix: Mission Kleopatra (DE)
Asterix & Obelix: Mission Kleopatra (DE)
Asterix ke Ovelix : Epixeirhsh Kleopatra (EL)
Asterix & Ovelix: Epiheirisi Kleopatra (EL)
Αστερίξ & Οβελίξ: Επιχείρηση Κλεοπ�... (EL)
Asterix y Obelix: Mision Cleopatra (ES)
Astérix y Obélix: Misión Cleopatra (ES)
Asterix & Obelix: Missioon Kleopatra (ET)
Asterix ja Obelix: Tehtävä Kleopatra (FI)
Astérix & Obélix: Tehtävä Kleopatra (FI)
Asterix & Obelix - Uppdrag Kleopatra (FI)
Astérix et Obélix : Mission Cléopâtre (FR)
Astérix & Obélix: Au service de Cléopatre (FR)
Astérix & Obélix: Mission Cléopâtre (FR)
Asterix i Obelix: Misija Kleopatra (HR)
Asterix és Obelix: a Kleopátra küldetés (HU)
Asterix és Obelix: A Kleopátra küldetés (HU)
Ástríkur & Steinríkur: Ástríkur & Kleópatra (IS)
Asterix & Obelix: Missione Cleopatra (IT)
Asterix & Obelix - Missione Cleopatra (IT)
Astersikas ir Obeliksas 2: Misija Klepatra (LT)
Asteriksas ir Obeliksas: misija Kleopatra (LT)
Asterix & Obelix: missie Cleopatra (NL)
Asterix & Obelix: Oppdrag Kleopatra (NO)
Asterix i Obelix - Misja Kleopatra (PL)
Asterix i Obelix: Misja Kleopatra (PL)
Asterix e Obelix: Missão Cleópatra (PT)
Astérix e Obélix: Missão Cleópatra (PT)
Asterix & Obelix: Misuine Cleopatra (RO)
Астерикс и Обеликс: Миссия Клеопатра (RU)
Asterix a Obelix: Misia Kleopatra (SK)
Asterix & Obelix: Misija Kleopatra (SL)
Asteriks i Obeliks - Misija Kleopatra (SR)
Astérix & Obélix - uppdrag Kleopatra (SV)
Astérix & Obélix: Uppdrag Kleopatra (SV)
Asteriks ve Oburiks: Görevimiz Kleopatra (TR)
Asteriks ve Oburiks - Görevimiz Kleopatra (TR)
Астерiкс i Обелiкс: Мiсiя Клеопатра (UK)
Astérix & Obélix: Mission Cléopâtre (XX)
Astérix et Obélix: Mission Cléopâtre (XX)
Asterix & Obelix: Mission Cleopatra (XX)";"FR / DE";"2002";"Alain Chabat";"21 566 242"
"Qu'est-ce qu'on a fait au Bon Dieu? (FR)
Serial (EN)
Serial (Bad) Weddings (EN)
Какво направихме, за Бога (BG)
Co jsme komu udělali? (CS)
Bryllupskaos (DA)
Monsieur Claude und seine Töchter (DE)
Thee mou, ti sou kaname? (EL)
Θεέ μου, τι σου κάναμε; (EL)
Dios mío, ¿pero qué te hemos hecho? (ES)
Dios Mío ¿Qué hemos hecho? (ES)
Dios mío, ¿qué hemos hecho? (ES)
Ranskalaista häähumua (FI)
Bazi nagy francia lagzik (HU)
Non sposate le mie figlie! (IT)
Colorful Weddings (KO)
Šta smo Bogu zgriješili? (ME)
Што сме му згрешиле на Бога (MK)
Bon Dieu! (NL)
Familiekaos (NO)
Za jakie grzechy, dobry Boże? (PL)
Za jakie grzechy, dobry Boze? (PL)
Que Mal Fiz Eu a Deus? (PT)
Que Mal Eu Fiz a Deus? (PT)
Cu ce ti-am gresit noi, Doamne? (RO)
Безумная свадьба (RU)
Čo sme komu urobili? (SK)
Bog, le kaj smo zagresili? (SL)
Šta smo Bogu zgrešili (SR)
Serial (Bad) Weddings (SV)
Bröllopskaos (SV)
Sürpriz Damatlar (TR)
Delisov Toy (XX)";"FR";"2014";"Philippe de Chauveron";"20 120 183"
"Le fabuleux destin d'Amélie Poulain (FR)
Amelie from Montmartre (EN)
Amelie (EN)
Amélie (EN)
Amélie (EN)
Невероятната съдба на Амели Пулен (BG)
Amélie z Montmartru (CS)
Den fabelagtige Amelie fra Montmartre (DA)
Den fabelagtige Amélie fra Montmartre (DA)
Die fabelhafte Welt der Amélie (DE)
Die fabelhafte Welt der Amelie (DE)
Αμελί (EL)
Amelie (ES)
El fabuloso destino de Amelie Poulain (ES)
Amélie (ES)
Amélie (ES)
Amelie (FI)
Amélie (FI)
Amélie de Montmartre (FR)
Amélie (FR)
Amélie des Abbesses (FR)
Amelie (HR)
Amélie csodálatos élete (HU)
Il faAmélie z Montmartruvoloso mondo di Amelie (IT)
Il favoloso mondo di Amélie (IT)
Ameri (JA)
Amelija iš Monmartro (LT)
Den fabelaktige Amelie fra Montmartre (NO)
Den fabelaktige Amélie fra Montmartre (NO)
Amelia (PL)
O fabuloso destino de Amelie (PT)
O Fabuloso Destino de Amélie Poulain (PT)
O Fabuloso Destino de Amélie (PT)
Amélie (RO)
Амели (RU)
Amélie z Montmartru (SK)
Amélia (SK)
Nenavadna usoda Amelie Poulain (SL)
Čudesna sudbina Amelije Pulen (SR)
Amelie från Montmartre (SV)
Amelie (TR)
Неймовiрна доля Амелi Пулен (UK)
Le fabuleux destin d'Amélie Poulain (XX)
Amélie (XX)
Le fabuleux destin d'Amélie Poulain (XX)
Amélie (XX)
Amélie (XX)";"FR / DE";"2001";"Jean-Pierre Jeunet";"20 018 849"
"Lucy (EN)
Люси (BG)
Lucy (EL)
Lucy (ES)
Lucy (FR)
Lucy (HU)
Lucy (IT)
Liusi (LT)
Lūsija (LV)
Lusi (ME)
Луси (MK)
Lucy (PT)
кЧЯХ (RU)
Люси (RU)
Lucy (SL)
Lusi (SR)
Lucy (TR)
Люсi (UK)
Lusi (XX)
Lucy (XX)
Lucy (XX)
Lucy (XX)";"FR";"2014";"Luc Besson";"15 144 056"
"Astérix aux jeux olympiques (FR)
Asterix at the Olympic Games (EN)
Астерикс на олимпийските игри (BG)
Asterix a Olympijské hry (CS)
Asterix og de olympiske lege (DA)
Asterix bei den Olympischen Spielen (DE)
O Asterix stous olympiakous agones (EL)
Ο Αστερίξ στους Ολυμπιακούς αγώνες (EL)
Asterix en los juegos olímpicos (ES)
Astérix en los Juegos Olímpicos (ES)
Asterix Olympialaisissa (FI)
Asterix olympialaisissa (FI)
Asterix på olympiaden (FI)
Asterix na olimpijskim igrama (HR)
Asterix na Olimpijskim igrama (HR)
Asterix Az Olimpián (HU)
Asterix az Olimpián (HU)
Ástríkur á Ólympíuleikunum (IS)
Asterix Alle Olimpiadi (IT)
Asterix alle olimpiadi (IT)
Asteriksas olimpinese zaidynese (LT)
Asteriks Olimpiskajās Spēlēs (LV)
Asterix en de Olympische Spelen (NL)
Asterix og de olympiske leker (NO)
Asterix na olimpiadzie (PL)
Astérix nos jogos olímpicos (PT)
Asterix nos Jogos Olímpicos (PT)
Astérix nos Jogos Olímpicos (PT)
Asterix La Jocurile Olimpice (RO)
Asterix la Jocurile Olimpice (RO)
Астерикс на Олимпийских играх (RU)
Asterix a Olympijské hry (SK)
Asterix na olimpijskih igrah (SL)
Asteriks na Olimpijadi (SR)
Asterix på Olympiaden (SV)
Astérix på olympiaden (SV)
Asteriks olimpiyat oyunlari'nda (TR)
Астерiкс на Олiмпiйських iграх (UK)
Astérix aux jeux olympiques (XX)
Astérix aux jeux olympiques (XX)
Asterix at the Olympic Games (XX)";"FR / DE / ES / IT";"2008";"Frédéric Forestier
Thomas Langmann";"13 551 465"
"Taxi 2 (FR)
Такси 2 (BG)
Taxi 2 (DA)
Taxi Taxi (DE)
Taxi 2 (EL)
Ταξί 2 (EL)
Alta tensión (ES)
Taxi 2 (ES)
Taxi 2 - Alta tensión (ES)
Takso 2 (ET)
Taxi 2 (FI)
Taksi 2 (HR)
Taxxi 2 (IT)
Taxi 2 (JA)
Taksi 2 (LT)
Taxi - Brigada anti-gang (PT)
Táxi 2 (PT)
Táxi 2 - Mais Velocidade nas Ruas (PT)
Táxi - Brigada Anti-Gang (PT)
Taksi 2 (RU)
Такси 2 (RU)
Taksi 2 (SR)
Taksi 2 (TR)
Таксi 2 (UK)
Taxi 2 (XX)";"FR";"2000";"Gérard Krawczyk";"12 214 697"
"Les choristes (FR)
The Chorus (EN)
Хористите (BG)
Slavíci v kleci (CS)
Koret (DA)
Die Kinder des Monsieur Mathieu (DE)
I horodia (EL)
Ta paidia tis horodias (EL)
Τα Παιδιά της Χορωδίας (EL)
Los Chicos Del Coro (ES)
Los coristas (ES)
Los chicos del coro (ES)
Los coristas (ES)
Los coristas (ES)
Kuoropojat (FI)
Körpojkarna (FI)
Kóristák (HU)
I ragazzi del coro (IT)
Les choristes - I ragazzi del coro (IT)
Choristai (LT)
Koristi (LV)
Mathieu og korguttene (NO)
Pan od muzyki (PL)
Os Coristas (PT)
A Voz do Coração (PT)
Corul (RO)
Хористы (RU)
Slávici v klietke (SK)
Zboristi (SL)
Grosskören (SV)
Gosskören (SV)
Koro (TR)
Хористи (UK)
Les choristes (XX)
Les Choristes (XX)
Gorooh e Kor (XX)
The Choir Boys (XX)
The Chorus (XX)";"FR / CH / DE";"2004";"Christophe Barratier";"11 931 162"
"Arthur et les Minimoys (FR)
Arthus and the Minimoys (EN)
Arthur and the Invisibles (EN)
Артур и минимоите (BG)
Arthur a Minimojové (CS)
Arthur Og Minimoyserne (DA)
Arthur og minimoyserne (DA)
Arthur und die Minimoys (DE)
O Arthur kai oi Minimoy (EL)
Ο Αρθουρ και οι Μινιμόι (EL)
Arthur y los Minimoys (ES)
Arthur i els Minimoys (ES)
Arthur y los minimoys (ES)
Artur ja minimoid (ET)
Arthur ja minimoit (FI)
Arthur ja Minimoit (FI)
Arthur u zemlji Minimoya (HR)
Arthur Es A Villangók (HU)
Arthur és a villangók (HU)
Arthur E Il Popolo Dei Minimei (IT)
Arthur e il popolo dei Minimei (IT)
Arturas ir Minimukai (LT)
Arthur en de Minimoys (NL)
Arthur og Minimoyene (NO)
Artur I Minimki (PL)
Artur i Minimki (PL)
Artur E Os Minimeus (PT)
Arthur e os Minimoys (PT)
Artur e os Minimeus (PT)
Arthur si Minimoys (RO)
Артур и минипуты (RU)
Artur a Minimojovia (SK)
Artur in Minomojčki (SL)
Artur i Minimoji (SR)
Arthur och Minimojerna (SV)
Arthur ile Minimoylar (TR)
Arthur et les Minimoys (XX)
Arthur et les Minimoys (XX)
Arthur and the Minimoys (XX)
Arthur ve'ha'Minimonim (XX)
Arthur and the Invisibles (XX)
Arthur and the Invisibles (XX)";"FR";"2006";"Luc Besson";"10 835 972"
"Les Bronzés 3: amis pour la vie (FR)
French Fried Vacation 3: Friends Forever (EN)
Friends Forever (EN)
Filoi gia panta (EL)
S.O.S. ¡Llegaron mis amigos! (ES)
Les bronzés 3: amis pour la vie (FR)
Legeslegjobb cimborák (HU)
Opaleni - przyjaciele na cale zycie (PL)
Prieteni pentru totdeauna (RO)
Веселые и загорелые (RU)
Les bronzés 3: amis pour la vie (XX)
Les Bronzés 3 - Amis pour la vie (XX)";"FR";"2006";"Patrice Leconte";"10 813 919"
